"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"94",8,"Justin Herbert",LAC,"QB11","69","112","93.8","11.3","-"
"95",9,"Tetairoa McMillan",CAR,"WR43","70","115","96.7","18.5","-"
"96",9,"Brock Purdy",SF,"QB12","73","107","96.8","7.4","-"
"97",9,"Travis Hunter",JAC,"WR44","80","115","97.8","12.5","-"
"98",9,"Rhamondre Stevenson",NE,"RB32","83","119","99.3","10.0","-"
"99",9,"Quinshon Judkins",CLE,"RB33","76","159","99.6","24.4","-"
"100",9,"Josh Downs",IND,"WR45","81","114","100.9","8.9","-"
"101",9,"Caleb Williams",CHI,"QB13","78","118","101.7","8.5","-"
"102",9,"Jordan Love",GB,"QB14","73","124","103.7","9.8","-"
"103",9,"Michael Pittman Jr.",IND,"WR46","87","120","104.0","7.8","-"
"104",9,"Jake Ferguson",DAL,"TE11","94","111","106.4","5.5","-"
"105",9,"Ricky Pearsall",SF,"WR47","80","132","106.5","15.3","-"
"106",9,"Cooper Kupp",SEA,"WR48","89","127","106.7","11.6","-"
"107",9,"Drake Maye",NE,"QB15","97","124","106.9","7.3","-"
"108",9,"Tucker Kraft",GB,"TE12","86","111","107.0","6.6","-"
"109",9,"Javonte Williams",DAL,"RB34","74","126","107.6","13.2","-"
"110",9,"C.J. Stroud",HOU,"QB16","103","118","108.7","4.5","-"
"111",9,"Dak Prescott",DAL,"QB17","91","118","109.6","6.5","-"
"112",9,"Tyjae Spears",TEN,"RB35","83","142","110.9","16.6","-"
"113",9,"Zach Charbonnet",SEA,"RB36","92","131","112.1","10.8","-"
"114",9,"Justin Fields",NYJ,"QB18","69","275","112.7","45.5","-"
"115",9,"Trevor Lawrence",JAC,"QB19","78","128","113.4","12.3","-"
"116",9,"Dalton Kincaid",BUF,"TE13","105","130","113.6","8.1","-"
"117",9,"Darnell Mooney",ATL,"WR49","93","125","113.7","7.1","-"
"118",9,"Kaleb Johnson",PIT,"RB37","71","304","114.9","60.8","-"
"119",9,"Christian Kirk",HOU,"WR50","87","148","116.3","12.9","-"
"120",9,"Rachaad White",TB,"RB38","98","134","117.2","8.9","-"
"121",9,"Dallas Goedert",PHI,"TE14","110","137","122.9","7.7","-"
"122",10,"Rico Dowdle",CAR,"RB39","88","145","123.9","17.1","-"
"123",10,"RJ Harvey",DEN,"RB40","52","302","124.0","74.8","-"
"124",10,"Tua Tagovailoa",MIA,"QB20","113","133","124.3","6.5","-"
"125",10,"Tank Bigsby",JAC,"RB41","101","144","125.8","11.0","-"
"126",10,"Marquise Brown",KC,"WR51","108","164","127.4","12.2","-"
"127",10,"Matthew Stafford",LAR,"QB21","113","138","127.7","6.5","-"
"128",10,"Jalen McMillan",TB,"WR52","108","196","129.9","20.2","-"
"129",10,"Rashid Shaheed",NO,"WR53","122","148","132.7","6.9","-"
"130",10,"Jordan Mason",MIN,"RB42","98","151","133.8","12.7","-"
"131",10,"Keon Coleman",BUF,"WR54","122","167","137.4","11.6","-"
"132",10,"Bryce Young",CAR,"QB22","118","152","137.6","10.7","-"
"133",10,"Hunter Henry",NE,"TE15","123","180","138.9","16.8","-"
"134",10,"J.J. McCarthy",MIN,"QB23","113","158","139.7","11.8","-"
"135",10,"Austin Ekeler",WAS,"RB43","121","159","139.9","10.8","-"
"136",10,"Michael Penix Jr.",ATL,"QB24","133","178","143.7","11.2","-"
"137",10,"Tyler Allgeier",ATL,"RB44","131","159","145.4","8.1","-"
"138",10,"Keenan Allen",FA,"WR55","93","222","132.7","33.2","-"
"139",10,"Romeo Doubs",GB,"WR56","135","173","147.4","12.2","-"
"140",10,"Ray Davis",BUF,"RB45","134","161","147.7","6.5","-"
"141",10,"Rashod Bateman",BAL,"WR57","132","165","148.3","10.9","-"
"142",10,"Cam Skattebo",NYG,"RB46","102","236","148.4","32.4","-"
"143",10,"Cedric Tillman",CLE,"WR58","127","177","148.6","13.3","-"
"144",10,"Marvin Mims Jr.",DEN,"WR59","135","201","150.6","17.8","-"
"145",10,"Blake Corum",LAR,"RB47","121","200","150.8","18.9","-"
"146",10,"Pat Freiermuth",PIT,"TE16","137","195","151.6","14.4","-"
"147",10,"Jaylen Wright",MIA,"RB48","140","163","151.6","7.2","-"
"148",10,"Trey Benson",ARI,"RB49","129","174","152.4","13.1","-"
"149",10,"Jerome Ford",CLE,"RB50","117","239","152.4","28.1","-"
"150",10,"Geno Smith",LV,"QB25","138","178","153.7","8.0","-"
"151",10,"Kyle Pitts",ATL,"TE17","137","225","154.8","27.2","-"
"152",10,"Isaac Guerendo",SF,"RB51","121","188","155.4","13.9","-"
"153",10,"Braelon Allen",NYJ,"RB52","134","174","156.3","12.1","-"
"154",10,"Quentin Johnston",LAC,"WR60","122","209","157.8","23.8","-"
"155",10,"MarShawn Lloyd",GB,"RB53","126","221","158.7","19.0","-"
"156",11,"DeAndre Hopkins",BAL,"WR61","120","222","159.1","22.8","-"
"157",11,"Adam Thielen",CAR,"WR62","127","183","159.1","14.3","-"
"158",11,"Denver Broncos",DEN,"DST1","150","160","150.6","2.4","-"
"159",11,"Zach Ertz",WAS,"TE18","123","208","165.4","24.2","-"
"160",11,"Anthony Richardson Sr.",IND,"QB26","112","273","165.5","37.9","-"
"161",11,"Wan'Dale Robinson",NYG,"WR63","127","196","169.0","18.6","-"
"162",11,"Jalen Coker",CAR,"WR64","149","198","173.1","10.6","-"
"163",11,"Matthew Golden",GB,"WR65","114","288","173.6","41.0","-"
"164",11,"Amari Cooper",FA,"WR66","99","194","147.7","32.3","-"
"165",11,"Sam Darnold",SEA,"QB27","128","213","175.1","25.6","-"
