"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",22.2,2.64,0.199,19.7,25.3,13.8,13.7,15.5,1,2,1,1,"1",NA,NA,91
"2","Dalvin Cook","RB","MIN",22,1.19,2,20.6,23.2,13.6,14.6,13.4,2,1,2,2,"2",NA,NA,59
"3","Chase Edmonds","RB","ARI",20,0.996,0.119,19,20.9,11.7,12.9,11.2,4,3,5,3,"2",NA,NA,53
"4","Davante Adams","WR","GB",23.1,2.52,1.14,20.7,26.1,11.7,10.7,13.2,3,7,3,1,"1",NA,NA,72
"5","James Robinson","RB","JAC",19.9,NA,0.99,NA,NA,11.5,NA,NA,5,NA,NA,4,"3",NA,NA,NA
"6","JaMycal Hasty","RB","FA",18.9,NA,0.022,NA,NA,10.5,NA,NA,6,NA,NA,5,"3",NA,NA,NA
"7","Christian McCaffrey","RB","CAR",18.9,1.09,0.00454,17.7,19.7,10.5,11.6,9.95,7,6,9,6,"3",NA,NA,56
"8","Derrick Henry","RB","TEN",18.9,0.947,0.186,17.9,20.1,10.5,11.8,10.4,8,5,6,7,"3",NA,NA,49
"9","DeAndre Hopkins","WR","ARI",22,1.97,1.14,20.2,24.4,10.5,10.2,11.4,9,9,4,2,"1",NA,NA,60
"10","James Conner","RB","PIT",18.7,0.974,1.69,17.9,20.1,10.3,11.9,10.3,10,4,7,8,"4",NA,NA,50
"11","Julio Jones","WR","ATL",20.8,2.18,0.239,18.4,22.6,9.37,8.44,9.63,11,16,10,3,"1",NA,NA,63
"12","Stefon Diggs","WR","BUF",20.6,1.65,0.453,18.7,22.4,9.13,8.76,9.45,12,14,11,4,"2",NA,NA,52
"13","Keenan Allen","WR","LAC",20.2,4.05,1.24,14.5,23.3,8.68,4.5,10.3,13,32,8,5,"2",NA,NA,94
"14","Josh Jacobs","RB","LVR",17,0.506,0.444,16.4,17.6,8.64,10.3,7.84,14,8,20,9,"4",NA,NA,18
"15","Antonio Gibson","RB","WAS",16.6,0.705,0.618,16,17.3,8.19,10,7.55,15,10,22,10,"5",NA,NA,35
"16","Travis Kelce","TE","KC",17.7,2.35,0.803,15.3,19.6,7.96,7.7,8.96,16,17,13,1,"1",NA,NA,89
"17","Todd Gurley","RB","ATL",15.9,0.769,0.0697,15.1,16.8,7.58,9.11,7.07,17,12,28,11,"5",NA,NA,40
"18","David Montgomery","RB","CHI",15.9,1.6,0.15,14.9,18.1,7.51,8.84,8.33,18,13,17,12,"5",NA,NA,71
"19","Tyler Lockett","WR","SEA",18.9,2.8,0.382,15.6,21.8,7.44,5.67,8.87,19,23,14,6,"3",NA,NA,79
"20","Justin Jackson","RB","LAC",15.7,2.39,0.0144,13.2,17.8,7.36,7.13,8.03,20,18,19,13,"5",NA,NA,87
"21","DeeJay Dallas","RB","SEA",15.7,0.498,0.515,15.2,16.2,7.34,9.14,6.44,21,11,33,14,"6",NA,NA,17
"22","Darren Waller","TE","LVR",16.9,2.93,2.76,13.9,19.2,7.16,6.33,8.56,22,20,15,2,"2",NA,NA,95
"23","Terry McLaurin","WR","WAS",18.5,2.56,0.057,15.3,20.7,7.06,5.35,7.79,23,27,21,7,"3",NA,NA,74
"24","DK Metcalf","WR","SEA",18.5,3.12,0.348,15.3,22.3,7.01,5.39,9.38,24,26,12,8,"3",NA,NA,86
"25","Clyde Edwards-Helaire","RB","KC",15.2,0.536,1.41,14.7,15.7,6.83,8.62,6,25,15,40,15,"7",NA,NA,21
"26","Adam Thielen","WR","MIN",18.1,2.75,0.191,15.2,21.2,6.66,5.27,8.29,26,28,18,9,"3",NA,NA,77
"27","Tyreek Hill","WR","KC",17.9,2.24,0.218,15.6,20,6.47,5.63,7.08,27,24,27,10,"3",NA,NA,65
"28","Michael Thomas","WR","NO",17.7,1.24,0.0926,16.5,19,6.25,6.59,6.07,28,19,38,11,"3",NA,NA,39
"29","Allen Robinson","WR","CHI",17.6,1.71,0.813,16.1,19.9,6.16,6.2,6.97,29,21,29,12,"4",NA,NA,54
"30","Russell Wilson","QB","SEA",24.4,2.24,0.262,21.5,26.4,5.62,3.96,7.15,30,39,24,1,"1",NA,NA,86
"31","Melvin Gordon","RB","DEN",13.8,1.79,0.33,12,15.5,5.42,5.99,5.73,31,22,45,16,"7",NA,NA,76
"32","Kyler Murray","QB","ARI",24.1,1.79,0.765,21.9,25.8,5.36,4.32,6.56,32,36,31,2,"1",NA,NA,70
"33","Will Fuller","WR","HOU",16.8,2.36,0.0547,14.4,19.5,5.34,4.48,6.53,33,33,32,13,"4",NA,NA,67
"34","Robby Anderson","WR","CAR",16.8,3.6,0.256,13.4,21.5,5.29,3.48,8.55,34,47,16,14,"4",NA,NA,90
"35","David Johnson","RB","HOU",13.4,2.96,0.848,10.4,15.5,5.09,4.37,5.77,35,35,44,17,"8",NA,NA,94
