"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",25.1,0.81,4.97,24.2,26.1,17.3,18.5,17.7,1,1,1,1,"1",NA,NA,47
"2","Kareem Hunt","RB","CLE",20.2,1.22,0.053,19.3,21.8,12.4,13.7,13.4,2,2,3,2,"1",NA,NA,65
"3","Ezekiel Elliott","RB","DAL",20.1,1.55,0.629,18.7,22.1,12.3,13,13.7,3,3,2,3,"1",NA,NA,75
"4","Derrick Henry","RB","TEN",19.5,1.23,0.0307,18.1,20.9,11.7,12.5,12.4,4,5,4,4,"1",NA,NA,66
"5","Mike Davis","RB","CAR",19.5,1.02,1.11,18.4,20.6,11.6,12.8,12.1,5,4,6,5,"2",NA,NA,56
"6","Jamaal Williams","RB","GB",18.3,3.63,0.22,15.7,20.6,10.5,9.99,12.2,6,9,5,6,"2",NA,NA,96
"7","Chris Carson","RB","SEA",18.1,0.951,0.767,17.3,19.3,10.3,11.7,10.9,7,6,7,7,"3",NA,NA,51
"8","Davante Adams","WR","GB",22.3,2.82,0.47,19.1,25.5,10,8.6,10.4,8,17,11,1,"1",NA,NA,68
"9","Clyde Edwards-Helaire","RB","KC",17.4,0.394,0.193,17,17.7,9.54,11.4,9.31,10,7,14,8,"3",NA,NA,19
"10","DeAndre Hopkins","WR","ARI",21.9,3.93,1.95,16.7,25.8,9.54,6.29,10.7,9,25,9,2,"2",NA,NA,89
"11","James Conner","RB","PIT",17.2,1.81,0.185,15.1,19.3,9.35,9.42,10.9,11,12,8,9,"3",NA,NA,82
"12","Josh Jacobs","RB","LVR",17,0.503,0.484,16.5,17.6,9.16,10.8,9.19,12,8,16,10,"4",NA,NA,27
"13","Travis Kelce","TE","KC",18.1,1.76,2.54,16.1,19.5,9.13,7.82,9.47,13,19,12,1,"1",NA,NA,80
"14","James Robinson","RB","JAC",16.5,NA,0.578,NA,NA,8.68,NA,NA,14,NA,NA,11,"4",NA,NA,NA
"15","Antonio Gibson","RB","WAS",15.9,1.16,0.0367,14.9,17.1,8.1,9.23,8.63,15,13,17,12,"4",NA,NA,61
"16","Giovani Bernard","RB","CIN",15.9,1.95,0.0403,14.2,17.8,8.06,8.55,9.39,16,18,13,13,"4",NA,NA,84
"17","Devin Singletary","RB","BUF",15.8,0.49,0.0448,15.4,16.3,8.02,9.77,7.89,17,11,24,14,"4",NA,NA,26
"18","Ronald Jones","RB","TB",15.8,0.798,0.067,14.7,16.5,7.98,8.99,8.06,18,14,23,15,"4",NA,NA,45
"19","Todd Gurley","RB","ATL",15.7,0.0992,0.00877,15.6,15.8,7.91,9.96,7.4,19,10,28,16,"4",NA,NA,6
"20","David Johnson","RB","HOU",15.7,1.12,0.265,14.4,17,7.9,8.7,8.59,20,16,18,17,"5",NA,NA,60
"21","David Montgomery","RB","CHI",15.5,0.858,0.476,14.5,16.2,7.64,8.86,7.73,21,15,26,18,"5",NA,NA,49
"22","Stefon Diggs","WR","BUF",19.9,3.3,0.405,16.9,23.5,7.59,6.44,8.37,22,24,21,3,"2",NA,NA,79
"23","Calvin Ridley","WR","ATL",19.5,2.44,0.565,16.7,22.3,7.18,6.27,7.14,23,26,30,4,"2",NA,NA,64
"24","Devonta Freeman","RB","FA",15,1.59,0.0043,13.1,15.9,7.16,7.48,7.42,24,23,27,19,"5",NA,NA,78
"25","Melvin Gordon","RB","DEN",15,2,0.0536,13.2,16.9,7.16,7.54,8.5,25,22,19,20,"5",NA,NA,86
"26","Kyler Murray","QB","ARI",25.2,3.7,0.224,21.5,29.7,7.14,4.77,10.6,26,35,10,1,"1",NA,NA,99
"27","Jerick McKinnon","RB","SF",14.9,2.68,1.25,13.2,17.7,7.1,7.56,9.24,27,21,15,21,"6",NA,NA,94
"28","Russell Wilson","QB","SEA",25,2.23,2.67,22.2,27,6.92,5.54,7.87,28,30,25,2,"2",NA,NA,78
"29","Kenny Golladay","WR","DET",18.9,4.45,0.111,16.2,23.5,6.62,5.73,8.41,29,28,20,5,"2",NA,NA,95
"30","Darren Waller","TE","LVR",15.5,2.5,1.28,12.5,18.4,6.6,4.17,8.37,30,40,22,2,"2",NA,NA,92
"31","DK Metcalf","WR","SEA",18.8,2.59,0.151,16.5,21.9,6.51,6.03,6.83,31,27,33,6,"2",NA,NA,66
"32","Tyreek Hill","WR","KC",18.7,3.39,0.224,15.3,22.4,6.35,4.86,7.24,32,34,29,7,"3",NA,NA,79
"33","Terry McLaurin","WR","WAS",18.5,2.11,0.307,16,20.2,6.13,5.59,5.13,33,29,50,8,"3",NA,NA,58
"34","Kenyan Drake","RB","ARI",13.7,0.463,1.73,13.3,14.3,5.86,7.68,5.91,34,20,43,22,"7",NA,NA,23
"35","Tyler Lockett","WR","SEA",18.2,2.85,0.1,14.8,20.7,5.82,4.37,5.63,35,37,45,9,"3",NA,NA,70
"36","Will Fuller","WR","HOU",18.1,2.89,0.289,15.4,21.2,5.72,4.99,6.11,36,33,41,10,"3",NA,NA,72
"37","Robby Anderson","WR","CAR",17.8,3.73,0.432,13.7,21.6,5.44,3.23,6.52,37,50,37,11,"3",NA,NA,87
"38","Hunter Henry","TE","LAC",14.2,2.75,0.0809,11.2,16.7,5.32,2.91,6.68,38,53,35,3,"2",NA,NA,95
"39","George Kittle","TE","SF",14.2,2.11,1.27,11.3,16,5.24,3.05,5.98,39,52,42,4,"3",NA,NA,86
"40","Allen Robinson","WR","CHI",17.3,4.25,0.0285,13.8,21.6,5,3.31,6.46,40,48,38,12,"3",NA,NA,93
"41","Keenan Allen","WR","LAC",17.3,3.61,0.189,14.5,21,4.97,4.08,5.86,41,43,44,13,"3",NA,NA,83
"42","Julio Jones","WR","ATL",17.1,1.28,0.0735,15.8,18.2,4.79,5.3,3.08,42,32,74,14,"3",NA,NA,36
"43","Tyler Boyd","WR","CIN",17,3.28,0.187,14.2,21.4,4.71,3.77,6.3,43,45,39,15,"3",NA,NA,78
"44","Amari Cooper","WR","DAL",16.9,2.83,0.176,13.9,20.4,4.52,3.44,5.29,44,47,49,16,"4",NA,NA,69
"45","Chase Claypool","WR","PIT",16.7,5.39,0.144,12.8,22.2,4.35,2.34,7.08,45,60,31,17,"4",NA,NA,99
"46","Patrick Mahomes","QB","KC",22.3,1.18,0.767,20.8,23.7,4.24,4.09,4.51,46,41,54,3,"2",NA,NA,49
"47","Mike Evans","WR","TB",16.5,2.97,0.154,13,19.5,4.2,2.5,4.4,47,57,56,18,"4",NA,NA,73
"48","Damien Harris","RB","NE",11.9,4.08,0.209,7.36,15,4.13,1.69,6.59,48,72,36,23,"7",NA,NA,99
"49","Chris Godwin","WR","TB",16.4,3.51,0.0285,12.9,19.6,4.05,2.47,4.51,49,58,55,19,"4",NA,NA,80
"50","Odell Beckham","WR","CLE",16.4,3.66,0.209,12.5,20.1,4.02,2.02,4.99,50,65,51,20,"4",NA,NA,86
"51","T.J. Hockenson","TE","DET",12.9,2.59,0.0476,10.2,15.6,3.97,1.9,5.61,51,69,46,5,"3",NA,NA,93
"52","D'Andre Swift","RB","DET",11.7,1.2,0.0839,11.1,13.1,3.92,5.4,4.67,53,31,52,24,"7",NA,NA,64
"53","Evan Engram","TE","NYG",12.8,4.08,0.86,9.91,17,3.92,1.6,7.01,52,73,32,6,"4",NA,NA,98
"54","Justin Jackson","RB","LAC",11.6,1.7,0.064,9.93,13,3.83,4.26,4.55,54,38,53,25,"7",NA,NA,81
"55","Cooper Kupp","WR","LAR",16.1,2.87,0.0309,14.2,19.1,3.81,3.77,3.97,55,44,64,21,"4",NA,NA,71
"56","Robert Woods","WR","LAR",16.1,4.69,0.0663,10.9,21.8,3.78,0.45,6.69,56,88,34,22,"4",NA,NA,96
"57","James White","RB","NE",11.6,1.26,0.265,10.3,12.7,3.77,4.61,4.25,57,36,59,26,"7",NA,NA,69
"58","Brandin Cooks","WR","HOU",16,4.41,0.118,12.3,20.5,3.72,1.89,5.34,58,70,48,23,"4",NA,NA,94
"59","D.J. Chark","WR","JAC",15.9,3.21,0.15,13.6,19.2,3.6,3.1,4.09,59,51,61,24,"4",NA,NA,76
"60","Darrell Henderson","RB","LAR",11.3,1.42,0.272,9.9,12.7,3.5,4.24,4.27,60,39,58,27,"8",NA,NA,71
"61","Josh Allen","QB","BUF",21.5,1.79,0.143,19.5,23,3.47,2.8,3.87,61,54,66,4,"2",NA,NA,61
"62","Travis Fulgham","WR","FA",15.8,5.3,0.522,11.9,19.2,3.45,1.42,4.06,62,78,62,25,"4",NA,NA,99
"63","Deshaun Watson","QB","HOU",21.4,1.13,0.238,20.2,22.7,3.33,3.49,3.49,63,46,71,5,"3",NA,NA,44
"64","Boston Scott","RB","PHI",11,1.28,0.491,9.75,12.1,3.23,4.09,3.64,64,42,68,28,"8",NA,NA,70
"65","Cam Newton","QB","NE",21.2,3.3,0.621,19.1,24.5,3.09,2.37,5.38,65,59,47,6,"3",NA,NA,98
"66","Robert Tonyan","TE","GB",12,3.89,0.357,8.36,16.3,3.06,0.0552,6.25,66,100,40,7,"5",NA,NA,97
"67","A.J. Brown","WR","TEN",15.3,4.05,0.017,11.6,19.2,2.93,1.18,4.1,67,79,60,26,"4",NA,NA,90
"68","Tee Higgins","WR","CIN",15.2,3.61,0.0168,11.9,18.7,2.91,1.48,3.63,68,76,69,27,"4",NA,NA,84
"69","Deebo Samuel","WR","SF",15.2,4.32,0.0179,11.2,19.4,2.89,0.771,4.27,69,84,57,28,"4",NA,NA,93
"70","Tre'Quan Smith","WR","NO",15.2,3.54,0.37,12.6,17.5,2.87,2.13,2.34,70,64,78,29,"5",NA,NA,82
