"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",22.8,1.65,1.57,20.8,24.6,14.7,15.1,15.8,1,1,2,1,"1",NA,NA,64
"2","Austin Ekeler","RB","LAC",21.3,3.36,0.0826,18.8,24.7,13.1,13.1,15.9,2,4,1,2,"1",NA,NA,98
"3","Dalvin Cook","RB","MIN",21.2,0.831,0.342,20.3,22,13,14.7,13.2,3,2,4,3,"1",NA,NA,38
"4","Derrick Henry","RB","TEN",20.8,1.98,2.69,19.2,23.7,12.7,13.5,14.9,4,3,3,4,"2",NA,NA,76
"5","Davante Adams","WR","GB",23.6,1.57,1.74,22.2,25.6,11.4,12.6,11.9,5,5,5,1,"1",NA,NA,46
"6","Travis Kelce","TE","KC",19,2.16,1.37,16.3,20.9,10.8,9.37,11.3,6,12,6,1,"1",NA,NA,83
"7","Aaron Jones","RB","GB",18.1,0.768,0.237,17.7,19.3,9.98,12.1,10.5,7,6,9,5,"2",NA,NA,34
"8","Jonathan Taylor","RB","IND",17.9,1.86,0.019,15.8,19.3,9.75,10.2,10.5,8,10,8,6,"2",NA,NA,72
"9","Mike Davis","RB","CAR",17.9,1.6,0.721,16.3,19.6,9.73,10.7,10.8,9,8,7,7,"3",NA,NA,61
"10","Tyreek Hill","WR","KC",21.8,1.58,1.03,20,23.7,9.67,10.4,9.99,10,9,13,2,"1",NA,NA,47
"11","Darren Waller","TE","LVR",17.6,2.48,2.13,14.3,19.6,9.48,7.46,10,11,24,12,2,"2",NA,NA,87
"12","Tony Pollard","RB","DAL",17.2,0.561,0.0926,16.8,17.6,9.01,11.2,8.77,12,7,22,8,"3",NA,NA,20
"13","David Johnson","RB","HOU",17.1,2.97,0.132,14.9,19,8.91,9.22,10.1,13,15,10,9,"3",NA,NA,95
"14","James Robinson","RB","JAC",16.9,NA,0.555,NA,NA,8.78,NA,NA,14,NA,NA,10,"3",NA,NA,NA
"15","Stefon Diggs","WR","BUF",20.8,2.97,0.218,17,23.6,8.63,7.35,9.91,15,26,14,3,"1",NA,NA,87
"16","DeAndre Hopkins","WR","ARI",20.6,2.65,0.508,17.2,23.3,8.41,7.62,9.59,16,23,16,4,"2",NA,NA,79
"17","Cam Akers","RB","LAR",16.4,1.61,0.0642,14.9,17.9,8.23,9.24,9.12,17,14,17,11,"3",NA,NA,63
"18","D'Andre Swift","RB","DET",16.3,1.49,0.553,15.2,17.8,8.16,9.55,9.02,18,11,19,12,"4",NA,NA,57
"19","Calvin Ridley","WR","ATL",20.1,2.13,0.897,17.6,21.9,7.91,8.05,8.2,19,21,23,5,"2",NA,NA,67
"20","David Montgomery","RB","CHI",15.8,2.4,0.0161,13.7,18.9,7.61,8.03,10.1,20,22,11,13,"4",NA,NA,86
