"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",319,34.2,6.08,274,370,160,145,172,1,1,2,1,"1",2.98,65.7,40
"2","Austin Ekeler","RB","LAC",313,21.6,37.3,274,339,154,144,141,2,2,5,2,"2",4.97,60.5,7
"3","Travis Kelce","TE","KC",282,29,69.5,249,331,148,129,173,3,4,1,1,"1",7.09,58,61
"4","Justin Jefferson","WR","MIN",331,32.1,14,291,369,143,131,150,4,3,3,1,"1",1.86,65.8,23
"5","Ja'Marr Chase","WR","CIN",317,29.5,7.6,273,362,129,112,143,5,8,4,2,"1",4.63,60.5,18
"6","Tyreek Hill","WR","MIA",309,24.5,17.4,268,336,121,108,116,6,10,8,3,"2",7.99,56.5,8
"7","Saquon Barkley","RB","NYG",276,29.5,8.08,246,321,117,116,124,7,6,6,3,"3",10.4,53.2,31
"8","Tony Pollard","RB","DAL",268,21.9,5.63,246,303,109,117,106,8,5,10,4,"3",14.7,46.7,11
"9","CeeDee Lamb","WR","DAL",292,31.7,6.32,251,328,104,90.9,108,9,17,9,4,"2",16,44.6,26
"10","Josh Jacobs","RB","LVR",262,20.3,0.416,243,293,103,114,95.1,10,7,15,5,"3",17.6,42.8,10
"11","Nick Chubb","RB","CLE",262,26.2,0.959,229,293,103,98.8,95.9,11,13,14,6,"3",10.5,53,25
"12","Derrick Henry","RB","TEN",261,15.3,2.48,238,284,102,108,86.6,12,9,20,7,"3",14,49.1,3
"13","Bijan Robinson","RB","ATL",258,22.2,14.1,229,288,99.4,98.9,90.2,13,12,19,8,"4",8.68,60.5,12
"14","Josh Allen","QB","BUF",398,25,5.83,371,436,99.3,92.8,119,14,15,7,1,"1",19.6,36.7,29
"15","Davante Adams","WR","LVR",286,23.5,5.12,252,316,97.5,92.2,96.2,15,16,13,5,"2",16.9,46,9
"16","Patrick Mahomes","QB","KC",392,12.1,1.06,380,415,93.5,102,98.3,16,11,11,2,"1",14.7,42.6,5
"17","Jalen Hurts","QB","PHI",391,19,37.4,362,410,92.4,84.2,93.4,17,20,16,3,"2",20.7,37.7,11
"18","Stefon Diggs","WR","BUF",281,22.9,6.65,258,316,92.4,98.1,96.8,18,14,12,6,"2",12.9,50,6
"19","Cooper Kupp","WR","LAR",274,25,7.29,241,313,85.7,80.6,93.2,19,23,17,7,"3",9.09,54.4,31
"20","Rhamondre Stevenson","RB","NE",244,21.1,5.47,217,272,85.3,87.7,74.1,20,19,24,9,"4",32.9,26.8,20
"21","Joe Mixon","RB","CIN",239,23.9,4.04,218,282,79.8,88.3,84.5,21,18,22,10,"4",30.2,32.8,29
"22","Mark Andrews","TE","BAL",212,18.4,15.2,188,235,78.7,69,76.6,22,25,23,2,"1",33.4,27.2,29
"23","Amon-Ra St. Brown","WR","DET",267,19.4,8.8,242,288,78.5,82.3,68.8,23,22,25,8,"3",20.9,41.1,1
"24","Aaron Jones","RB","GB",235,15.9,5.43,213,253,75.8,83.3,55.4,24,21,35,11,"5",36.1,29.2,8
"25","Najee Harris","RB","PIT",229,29.3,8.5,182,266,70.3,51.9,68.7,25,35,26,12,"5",29.7,30.6,45
"26","A.J. Brown","WR","PHI",258,33,3.72,218,310,69.6,57.8,90.8,26,30,18,9,"3",15.9,44.1,30
"27","Garrett Wilson","WR","NYJ",254,27.8,4.26,222,305,65.9,62.2,85.4,27,27,21,10,"4",19.7,41.6,19
"28","T.J. Hockenson","TE","MIN",197,14.9,10.3,178,216,63.5,58.4,57.2,28,29,33,3,"2",49.2,18.5,24
"29","Travis Etienne","RB","JAC",221,19.4,7.6,196,250,61.8,65.9,52.6,29,26,37,13,"5",30.8,28.7,19
"30","Jaylen Waddle","WR","MIA",250,25.7,11.9,212,283,61.7,51.9,63.2,30,33,28,11,"4",25.8,33.6,15
"31","Joe Burrow","QB","CIN",353,18.7,2.57,324,379,55,46.2,62.4,31,43,29,4,"2",36.7,24.8,16
"32","Jahmyr Gibbs","RB","DET",213,22.3,0.392,177,240,54.2,47.7,42.5,32,40,44,14,"5",33.9,32.5,26
"33","Kenneth Walker III","RB","SEA",213,28.2,0.578,179,260,53.8,49.7,62.1,33,38,31,15,"5",44.2,19.6,46
