"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Jonathan Taylor","RB","IND",345,34,7.16,297,391,171,154,191,1,2,2,1,"1",1.24,63.9,36
"2","Christian McCaffrey","RB","CAR",338,47.5,16.5,277,414,164,134,214,3,4,1,2,"1",3.68,61.4,70
"3","Cooper Kupp","WR","LAR",367,32.9,47.5,326,422,164,163,186,2,1,3,1,"1",5.53,53.4,21
"4","Austin Ekeler","RB","LAC",321,26.2,25.4,281,357,148,138,157,4,3,5,3,"2",4.67,57.6,19
"5","Travis Kelce","TE","KC",290,33.3,26.9,243,334,137,112,159,5,12,4,1,"1",16.3,43,55
"6","Derrick Henry","RB","TEN",296,31,9.57,255,341,122,112,141,6,10,6,4,"3",4.89,55.7,37
"7","Justin Jefferson","WR","MIN",319,22.3,7.39,292,353,117,129,116,7,5,11,2,"1",6.57,52.2,8
"8","Najee Harris","RB","PIT",287,33.8,2.37,230,325,113,86.9,125,8,20,7,5,"3",8.83,49.2,44
"9","Dalvin Cook","RB","MIN",284,31.4,1.9,239,322,110,96,122,10,16,8,6,"3",6.96,56.1,34
"10","Mark Andrews","TE","BAL",263,16.7,44.7,246,292,110,115,117,9,8,9,2,"2",24.7,30.8,15
"11","Davante Adams","WR","LVR",312,30.8,7.39,262,353,109,99.7,116,11,15,10,3,"1",14.3,45.7,16
"12","Alvin Kamara","RB","NO",282,13.4,4.47,264,301,108,120,101,12,6,15,7,"3",15.5,44.7,2
"13","Joe Mixon","RB","CIN",278,17.1,3.08,250,301,104,107,101,13,13,16,8,"3",11.2,49.4,4
"14","Ja'Marr Chase","WR","CIN",304,21.1,10.1,279,339,102,116,102,14,7,14,4,"2",9.78,48.4,6
"15","Leonard Fournette","RB","TB",275,15.6,3.13,255,300,101,112,99.9,15,11,17,9,"3",22.8,38.7,5
"16","Josh Allen","QB","BUF",416,13.5,32.3,400,432,99.3,112,89,16,9,20,1,"1",18.1,40.1,2
"17","Aaron Jones","RB","GB",272,28.3,4.84,236,310,97.7,93.3,110,17,18,12,10,"4",18.5,41.7,32
"18","Saquon Barkley","RB","NYG",267,25,4.2,236,297,92.9,93.3,96.7,18,17,18,11,"4",19.3,45.1,25
"19","Stefon Diggs","WR","BUF",294,21.3,13.7,264,317,91.8,101,80.8,19,14,23,5,"2",14.6,42.3,4
"20","D'Andre Swift","RB","DET",263,34.9,12.7,212,310,88.7,69.3,110,20,28,13,12,"4",16.7,41.1,45
"21","Deebo Samuel","WR","SF",281,28.2,5.13,234,310,78.1,71.1,73.2,21,27,26,6,"3",20.6,34.8,22
"22","Javonte Williams","RB","DEN",250,21.5,5.45,230,290,75.9,86.7,90.4,22,21,19,13,"5",22.8,36.2,15
"23","Tyreek Hill","WR","MIA",276,16,2.25,254,296,73,91.1,59.3,23,19,32,7,"3",23.9,37.1,1
"24","CeeDee Lamb","WR","DAL",273,36.2,7.63,206,307,70.7,43.5,70.9,24,46,28,8,"3",21.7,35.8,32
"25","James Conner","RB","ARI",244,23.6,2.02,210,278,70.5,67.1,78.7,25,31,24,14,"5",30.5,32.5,20
"26","Nick Chubb","RB","CLE",242,40,2.86,186,289,68.5,43.3,88.7,26,47,21,15,"5",15.7,43.8,55
"27","Patrick Mahomes","QB","KC",384,14,11,362,399,67,73.8,56.6,27,24,35,2,"1",31.8,29.5,17
"28","Darren Waller","TE","LVR",219,23.5,6.64,196,259,65.7,63.8,84.6,28,34,22,3,"3",50.1,17.3,41
"29","David Montgomery","RB","CHI",239,22.2,2.65,215,275,65.6,71.4,75.2,29,26,25,16,"5",37.6,21.8,24
"30","Mike Evans","WR","TB",266,17.2,6.51,235,283,63.1,72.2,46.6,30,25,40,9,"3",26.3,34.2,4
"31","Ezekiel Elliott","RB","DAL",237,26.3,10.7,196,271,62.9,52.5,71.5,31,42,27,17,"5",28.7,32.7,29
"32","Kyle Pitts","TE","ATL",212,20.2,8.42,186,246,59,53.9,70.9,32,41,29,4,"3",36,24.2,44
"33","Keenan Allen","WR","LAC",259,19.5,4.09,237,289,56.6,74.3,52.6,33,23,38,10,"3",31.7,29.9,9
"34","Justin Herbert","QB","LAC",373,12,17.7,364,396,56,75.9,53.6,34,22,36,3,"2",34.7,26.7,11
"35","A.J. Brown","WR","PHI",255,22.5,5.34,225,288,52.5,62,51.7,35,35,39,11,"4",31.8,28.1,11
"36","Travis Etienne","RB","JAC",226,22.1,11.9,198,258,52.2,55.1,58.4,36,39,34,18,"6",44.6,19.7,18
"37","George Kittle","TE","SF",203,23.3,6.23,187,245,50.6,55.7,70.6,37,37,30,5,"3",44.7,18.6,43
"38","Diontae Johnson","WR","PIT",250,11.7,0.00826,232,264,47.1,68.8,27.7,38,29,53,12,"4",50.4,16.2,3
"39","Michael Pittman","WR","IND",250,17.2,1.34,229,274,47.1,66.5,37.8,39,32,47,13,"4",35.8,27.7,5
"40","Tee Higgins","WR","CIN",248,12.3,0.581,229,263,45.8,65.9,26.7,40,33,56,14,"4",36.4,25.2,1
"41","Brandin Cooks","WR","HOU",248,11.8,9.87,231,261,45.2,68.1,24.9,41,30,57,15,"4",63.5,13.3,2
"42","Dalton Schultz","TE","DAL",197,13.3,11.5,177,215,44.4,44.9,40.3,42,44,45,6,"4",65.2,13.6,22
"43","Elijah Mitchell","RB","SF",214,16,2.91,198,241,40.3,55.1,41.4,43,38,44,19,"6",49.3,21.9,12
"44","Lamar Jackson","QB","BAL",355,20.4,0.212,321,379,38.3,32.8,36.5,44,57,48,4,"2",43.1,24.4,35
"45","Jalen Hurts","QB","PHI",355,22.7,5.6,329,389,38.1,41.1,46.4,45,49,41,5,"2",54.2,17.9,41
"46","Josh Jacobs","RB","LVR",211,28.4,7.22,172,253,37.4,28.9,53,46,63,37,20,"6",47.6,19.5,43
"47","Mike Williams","WR","LAC",238,13.3,1.8,222,258,35.4,58.8,21.6,47,36,62,16,"4",48.6,18.7,7
"48","Jaylen Waddle","WR","MIA",236,24.5,0.549,194,264,33.5,31.1,27.1,48,60,54,17,"4",52.5,13.8,19
"49","Chris Godwin","WR","TB",236,37.5,0.0165,187,295,33,24,58.8,49,68,33,18,"4",67.8,12.4,59
"50","DK Metcalf","WR","SEA",236,13.6,2.04,217,252,33,54.2,15.8,50,40,72,19,"4",52.4,15.4,6
"51","Dallas Goedert","TE","PHI",186,17,11.4,163,204,32.8,31.5,29,51,59,51,7,"5",71.5,9.07,30
"52","Kyler Murray","QB","ARI",349,18.3,5.02,318,370,32.5,29.9,26.9,52,62,55,6,"3",56.7,19.2,29
"53","D.J. Moore","WR","CAR",234,17.8,2.64,201,254,30.9,38.7,17.4,53,51,71,20,"5",47.8,21.2,9
"54","Cordarrelle Patterson","RB","ATL",204,14.3,0.518,181,220,30.2,38.2,20.1,54,52,66,21,"6",83.3,10.4,14
"55","Breece Hall","RB","NYJ",203,26.3,0.483,175,240,29.6,32.1,39.9,55,58,46,22,"6",52.4,25.6,39
"56","Cam Akers","RB","LAR",203,41.8,2.91,143,262,29.2,0,62.3,56,103,31,23,"6",41.8,25.5,77
"57","Amon-Ra St. Brown","WR","DET",231,18.4,0.655,207,249,28.3,44.2,12.8,57,45,82,21,"5",74.3,12.8,12
"58","Terry McLaurin","WR","WAS",230,25.8,1.53,186,260,27.7,23.1,23.1,58,69,59,22,"5",46.8,17.7,20
"59","Tom Brady","QB","TB",344,7.6,3.26,335,355,27.5,46.9,11.6,59,43,84,7,"3",69.6,15.4,6
"60","Dameon Pierce","RB","HOU",200,12.9,1.37,183,219,26.2,40.3,19.4,60,50,67,24,"6",82.4,18.1,21
"61","Gabriel Davis","WR","BUF",229,22.4,2.67,193,251,26.1,30.2,14.2,61,61,77,23,"5",63,19,26
"62","Antonio Gibson","RB","WAS",199,30.4,1.83,168,242,24.9,24.5,41.9,62,67,43,25,"7",60.1,15.4,50
"63","Dak Prescott","QB","DAL",341,16.2,9.32,321,365,24.2,33,21.9,63,56,61,8,"3",80.5,14.2,21
"64","Darnell Mooney","WR","CHI",226,19.6,5.26,204,257,23.5,41.5,20.8,64,48,65,24,"5",82.1,10.8,13
"65","Chase Edmonds","RB","MIA",197,21,0.384,172,223,23,28.5,22.7,65,65,60,26,"7",82,12.1,26
"66","AJ Dillon","RB","GB",197,20.6,3.39,178,229,22.7,34.9,28.9,66,54,52,27,"7",58.9,17.2,16
"67","T.J. Hockenson","TE","DET",174,20.2,9.23,151,206,21.5,19.1,31,67,73,50,8,"5",79.1,9.45,35
"68","J.K. Dobbins","RB","BAL",193,30.8,1.49,162,244,19.3,18.6,44.4,68,75,42,28,"7",47,17.9,53
"69","Amari Cooper","WR","CLE",221,22.1,0.813,190,248,18.2,26.8,11.5,69,66,85,25,"5",77.9,11.2,24
"70","Miles Sanders","RB","PHI",192,15.1,0.934,179,219,17.8,36.4,19.1,70,53,68,29,"7",79.4,10.6,12
"71","Courtland Sutton","WR","DEN",220,34.8,0.517,158,255,17.4,-4.47,18.8,71,116,70,26,"5",58.1,18.8,40
"72","Devin Singletary","RB","BUF",191,30.5,0.9,152,236,16.9,9.1,36.3,73,86,49,30,"7",78.6,11.3,47
"73","Michael Thomas","WR","NO",219,29.4,1.49,171,252,16.9,7.94,15.7,72,87,73,27,"5",75.6,13.5,40
"74","Tony Pollard","RB","DAL",190,19.3,2.02,162,213,16,19.1,13.4,74,74,80,31,"7",81.8,10,18
"75","Adam Thielen","WR","MIN",218,20.9,0.845,192,239,15.4,28.8,2.47,75,64,98,28,"5",68.5,11.8,19
"76","Aaron Rodgers","QB","GB",332,18,2.03,310,348,14.9,21.7,4.84,76,71,94,9,"4",76.1,15.3,40
"77","Marquise Brown","WR","ARI",217,25.7,0.256,176,244,14.5,13.6,7.92,77,82,91,29,"5",72.5,11.2,27
"78","Hunter Renfrow","WR","LVR",217,21.6,3.06,197,256,14.3,34.5,19.1,78,55,69,30,"5",90.4,8.11,25
"79","Clyde Edwards-Helaire","RB","KC",188,20.6,0.283,161,225,13.9,18,24.8,79,77,58,32,"7",69.5,13.5,22
"80","Damien Harris","RB","NE",188,24.7,5.98,156,221,13.6,12.6,21.2,80,84,64,33,"7",69.7,10,30
"81","Joe Burrow","QB","CIN",330,18.4,6.73,309,357,12.9,20.4,14.3,81,72,75,10,"4",59.5,17.7,24
"82","Zach Ertz","TE","ARI",165,17,5.19,137,188,12.2,4.89,13.6,82,92,78,9,"6",93.5,6.81,32
"83","Justin Tucker","K","BAL",158,9.3,3.06,147,170,12.2,14.3,15.4,83,81,74,1,"1",117,4.87,3
"84","Jerry Jeudy","WR","DEN",214,21.4,1.96,178,236,11.2,14.9,0,84,80,103,31,"6",71.7,10.6,17
"85","Tyler Lockett","WR","SEA",212,20.3,0.319,185,245,9.26,22.3,8.59,85,70,88,32,"6",103,6.75,17
"86","Daniel Carlson","K","LVR",155,11.2,2.94,135,168,9.13,3,14.2,86,97,76,2,"1",136,2.62,22
"87","Allen Robinson","WR","LAR",212,37.5,0.148,150,250,8.94,-13,13.2,87,144,81,33,"6",61.3,17,49
"88","JuJu Smith-Schuster","WR","KC",211,20.7,6.03,181,238,8.79,18.4,1.24,88,76,99,34,"6",78.1,13.9,24
"89","Rashaad Penny","RB","SEA",182,32.1,7.66,145,221,7.66,2.02,21.3,89,99,63,34,"8",74.4,13.5,48
"90","Pat Freiermuth","TE","PIT",160,19,0.0946,138,186,7.05,6.07,11.8,90,89,83,10,"6",114,3.68,47
"91","Dawson Knox","TE","BUF",160,15.6,6.61,139,180,6.95,6.8,5.43,91,88,93,11,"6",87.3,5.77,33
"92","Evan McPherson","K","CIN",152,12.4,0.991,137,165,6.19,4.54,11.1,92,93,86,3,"1",126,3.14,51
"93","Russell Wilson","QB","DEN",323,23.5,0.626,288,356,6.14,0,13.5,93,103,79,11,"4",76.5,16.5,43
"94","Matthew Stafford","QB","LAR",322,19.4,5.51,301,343,5.51,13.3,0.336,94,83,101,12,"4",86.3,12.1,30
"95","Harrison Butker","K","KC",151,5.42,3.47,142,157,5.2,9.85,3.05,95,85,97,4,"1",142,2.79,8
"96","Christian Kirk","WR","JAC",205,19.9,2.77,179,234,2.77,16.4,-2.41,96,78,116,35,"6",105,7.09,22
"97","Bills","DST","BUF",96.8,11,0.671,84,109,2.63,-3.14,8.16,97,112,89,1,"1",107,3.62,32
"98","Steelers","DST","PIT",96.1,7.81,1.96,88.1,106,1.96,0.915,4.56,98,101,95,2,"2",159,1.25,52
"99","Matt Gay","K","LAR",147,12.8,0.46,126,162,1.73,-6.63,8.09,99,122,90,5,"1",141,2.16,43
"100","Tyler Bass","K","BUF",147,11.1,1.16,128,160,1.27,-4.01,5.94,100,114,92,6,"1",132,2.75,11
"101","Mike Gesicki","TE","MIA",153,14.1,0.34,135,173,0.34,3.64,-1.33,101,95,108,12,"6",122,3.14,49
"102","Greg Joseph","K","MIN",146,8.89,0.102,131,155,0.102,-1.52,0.661,102,106,100,7,"1",162,1.56,73
"103","Kirk Cousins","QB","MIN",317,14,4.5,303,341,0,15.1,-1.71,103,79,112,13,"4",112,9.89,25
"104","Kareem Hunt","RB","CLE",174,24,0.664,128,194,0,-15,-5.45,103,151,126,35,"8",85.6,9.75,31
"105","Robert Woods","WR","TEN",203,25.1,0.879,168,237,0,5.74,0.147,103,90,102,36,"6",106,6.7,37
"106","Noah Fant","TE","SEA",153,17.8,1.54,129,173,0,-3.03,-1.49,103,111,110,13,"6",149,2.51,56
"107","Matt Prater","K","ARI",145,6.37,2.66,138,154,0,5.34,-0.262,103,91,106,8,"2",170,1.61,5
"108","Cowboys","DST","DAL",94.1,7.18,0.0847,81.9,101,0,-5.31,-0.224,103,118,105,3,"2",156,1.7,29
"109","Rams","DST","LAR",94.1,5.88,0.217,87.2,101,-0.0847,0,0,104,103,103,4,"2",138,2,26
"110","Packers","DST","GB",93.8,5.7,1.86,87.6,99.9,-0.302,0.403,-1.34,105,102,109,5,"3",154,1.5,23
"111","Rhamondre Stevenson","RB","NE",173,22.1,11.3,134,200,-0.664,-9.33,0,106,132,103,36,"8",94.1,8.99,26
"112","Rashod Bateman","WR","BAL",202,24.1,1.72,159,222,-0.879,-4.21,-14.8,107,115,158,37,"6",90.9,7.97,31
"113","Hunter Henry","TE","NE",151,14.6,1.18,132,175,-1.54,0,0,108,103,103,14,"6",130,3.2,42
"114","Saints","DST","NO",92,5.85,0.203,86.1,99.3,-2.16,-1.03,-1.9,109,104,114,6,"3",144,1.55,3
"115","Dolphins","DST","MIA",91.8,4.73,2.03,85.7,97.7,-2.37,-1.52,-3.54,110,107,122,7,"4",166,1.55,6
"116","Elijah Moore","WR","NYJ",200,24.4,9.59,158,230,-2.6,-4.79,-6.36,111,117,132,38,"7",92.7,5.24,23
"117","Nick Folk","K","NE",143,7.71,0.576,129,151,-2.66,-3.22,-2.73,112,113,117,9,"2",163,1.63,32
