"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Jahmyr Gibbs","RB","DET",21.5,0.312,1.24,21.1,22,13.3,15.1,11.7,1,1,2,1,"1",NA,NA,3
"2","Bijan Robinson","RB","ATL",20.3,0.946,0.555,19,21.3,12,13,10.9,2,2,4,2,"1",NA,NA,41
"3","Josh Jacobs","RB","GB",19.7,1.19,0.281,18.3,21.6,11.5,12.3,11.2,3,3,3,3,"1",NA,NA,59
"4","Chase Brown","RB","CIN",19.4,1.22,0.446,17.2,20.8,11.2,11.2,10.5,4,7,5,4,"2",NA,NA,66
"5","Ja'Marr Chase","WR","CIN",22.4,1.56,2.56,20.4,24.8,11.1,11.1,11.9,5,8,1,1,"1",NA,NA,87
"6","Saquon Barkley","RB","PHI",19,0.89,0.396,17.9,20.2,10.8,11.9,9.85,6,4,7,5,"2",NA,NA,34
"7","Devon Achane","RB","MIA",18.6,1.17,0.119,17.3,20.1,10.4,11.3,9.75,7,5,8,6,"3",NA,NA,58
"8","James Conner","RB","ARI",18.5,1.26,1.33,17.3,20.7,10.3,11.3,10.3,8,6,6,7,"4",NA,NA,69
"9","Josh Allen","QB","BUF",25.8,1.34,3.48,24.1,27.6,9.42,8.95,9.52,9,12,10,1,"1",NA,NA,68
"10","Joe Mixon","RB","HOU",17.2,1.19,0.544,15.7,19.4,8.92,9.72,9.02,10,9,12,8,"5",NA,NA,62
"11","Puka Nacua","WR","LAR",19.8,1.72,0.632,18.3,22.7,8.56,8.98,9.75,11,11,9,2,"1",NA,NA,94
"12","Derrick Henry","RB","BAL",16.6,0.89,0.716,15,17.8,8.38,9.04,7.45,12,10,16,9,"5",NA,NA,35
"13","Amon-Ra St. Brown","WR","DET",19.2,1.68,0.898,16.5,21,7.93,7.15,8.01,13,18,13,3,"2",NA,NA,93
"14","Kyren Williams","RB","LAR",15.9,0.929,0.612,14.7,17.1,7.66,8.71,6.76,14,13,18,10,"6",NA,NA,37
"15","Chuba Hubbard","RB","CAR",15.3,1.78,0.145,13.1,18.3,7.05,7.06,7.93,15,19,14,11,"6",NA,NA,93
"16","Justin Jefferson","WR","MIN",18.3,1.49,0.317,16.6,20.6,7.03,7.22,7.66,16,17,15,4,"2",NA,NA,80
"17","Trey McBride","TE","ARI",15.9,1.69,1.42,14.5,19.3,6.95,6.8,9.31,17,20,11,1,"1",NA,NA,97
"18","James Cook","RB","BUF",15.1,1.42,0.347,13.3,17.1,6.91,7.3,6.75,18,15,19,12,"7",NA,NA,79
"19","Davante Adams","WR","NYJ",18,1.79,0.114,15.8,20.1,6.71,6.47,7.11,19,22,17,5,"2",NA,NA,96
"20","Mike Evans","WR","TB",17.8,1.34,0.999,16.6,19.7,6.6,7.23,6.72,20,16,20,6,"3",NA,NA,69
"21","Jonathan Taylor","RB","IND",14.8,1.26,0.237,13.4,17.1,6.56,7.37,6.69,21,14,21,13,"7",NA,NA,68
"22","Breece Hall","RB","NYJ",14.6,1.54,0.335,11.8,16.2,6.32,5.76,5.84,22,26,25,14,"7",NA,NA,86
