"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"46","Tank Bigsby","RB","JAC",11.6,1.34,0.0599,9.93,13.5,3.49,3.5,3.3,46,41,49,23,"6",NA,NA,56
"47","Javonte Williams","RB","DEN",11.6,0.804,0.114,10.4,12.4,3.43,3.97,2.13,47,36,63,24,"6",NA,NA,18
"48","Najee Harris","RB","PIT",11.5,1.08,0.13,9.68,12.6,3.32,3.25,2.33,48,46,61,25,"6",NA,NA,34
"49","Evan Engram","TE","JAC",11.2,0.751,1.52,9.86,11.9,3.24,3.18,2.71,49,49,57,5,"4",NA,NA,18
"50","Chase Brown","RB","CIN",11.3,1.13,0.271,9.97,13.2,3.19,3.54,2.94,50,40,54,26,"6",NA,NA,38
"51","Zay Flowers","WR","BAL",13.9,0.88,0.391,12.4,15,3.08,3.19,2.74,51,48,56,17,"5",NA,NA,17
"52","Andrew Van Ginkel","DL","MIN",6.11,0.141,2.21,6,6.2,2.93,3.2,2.05,52,47,65,1,"1",NA,NA,4
"53","Austin Ekeler","RB","WAS",11.1,1.79,0.753,8.02,13.4,2.92,1.58,3.2,53,62,51,27,"7",NA,NA,86
"54","Nathaniel Dell","WR","HOU",13.5,0.601,0.000205,12.7,14.6,2.69,3.44,2.31,54,43,62,18,"5",NA,NA,7
"55","DeVonta Smith","WR","PHI",13.5,1.37,0.141,11.6,15.5,2.69,2.37,3.24,55,58,50,19,"5",NA,NA,61
"56","Tee Higgins","WR","CIN",13.3,1.03,0.723,11.9,14.8,2.55,2.71,2.53,56,53,59,20,"6",NA,NA,31
"57","Jalen Hurts","QB","PHI",19.4,1.54,0.856,16.5,20.8,2.53,1.7,2.08,57,61,64,4,"3",NA,NA,53
"58","Trey Sermon","RB","IND",10.3,2.1,0.715,7.92,14.2,2.16,1.48,4,58,64,39,28,"8",NA,NA,94
"59","Davante Adams","WR","NYJ",12.6,1.92,0.0886,9.15,15,1.82,-0.0831,2.8,59,132,55,21,"6",NA,NA,82
"60","Marvin Harrison Jr.","WR","ARI",12.5,2,0.0288,10.6,16.4,1.73,1.37,4.19,60,66,37,22,"6",NA,NA,87
"61","David Njoku","TE","CLE",9.72,1.05,0.543,8.48,11.7,1.72,1.8,2.5,61,60,60,6,"4",NA,NA,53
