"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",19.8,1.73,0.551,16.5,21.5,13.5,12.1,14.1,1,4,1,1,"1",NA,NA,87
"2","Joe Mixon","RB","HOU",19.3,0.698,0.0907,18.2,20.3,12.9,13.7,12.9,2,1,3,2,"1",NA,NA,13
"3","Devon Achane","RB","MIA",19.2,1.1,0.78,17.7,20.5,12.8,13.3,13.1,3,2,2,3,"1",NA,NA,54
"4","Saquon Barkley","RB","PHI",18.4,0.759,0.842,17.3,19.4,12,12.8,12,4,3,4,4,"2",NA,NA,16
"5","Jahmyr Gibbs","RB","DET",17.5,1.25,0.773,16.5,19.2,11.2,12,11.8,5,5,5,5,"3",NA,NA,69
"6","Derrick Henry","RB","BAL",16.8,0.842,0.129,15.6,17.9,10.4,11.2,10.5,6,6,8,6,"3",NA,NA,24
"7","Kenneth Walker III","RB","SEA",16.6,0.987,0.741,15.5,18.5,10.3,11,11.1,7,7,6,7,"4",NA,NA,38
"8","James Conner","RB","ARI",15.9,1.27,0.121,14.3,17.9,9.55,9.88,10.5,8,8,9,8,"4",NA,NA,71
"9","Josh Jacobs","RB","GB",15.8,1.58,0.622,14.3,18.4,9.43,9.87,11,9,9,7,9,"5",NA,NA,79
"10","Amon-Ra St. Brown","WR","DET",18.7,2.01,0.807,15.1,20.5,8.97,6.53,8.88,10,24,16,1,"1",NA,NA,94
"11","Jonathan Taylor","RB","IND",15.2,1.51,0.0944,13.2,17.5,8.81,8.73,10.1,11,11,11,10,"5",NA,NA,76
"12","Kyren Williams","RB","LAR",15.1,1.81,0.189,11.4,16.4,8.71,6.96,8.97,12,19,13,11,"5",NA,NA,91
"13","Kareem Hunt","RB","KC",14.9,1.92,0.298,12.4,17.6,8.53,7.9,10.2,13,13,10,12,"5",NA,NA,96
"14","David Montgomery","RB","DET",14.6,1.15,0.892,13.6,16.3,8.23,9.1,8.94,14,10,14,13,"6",NA,NA,63
"15","Justin Jefferson","WR","MIN",17.9,1.78,1.36,15.4,20.3,8.16,6.77,8.68,15,21,18,2,"2",NA,NA,90
"16","Aaron Jones","RB","MIN",13.7,0.931,0.0776,12.1,15,7.34,7.61,7.59,16,14,20,14,"6",NA,NA,32
"17","Brian Robinson","RB","WAS",13.6,1.58,0.00932,11.6,16.2,7.26,7.12,8.79,17,17,17,15,"6",NA,NA,78
"18","J.K. Dobbins","RB","LAC",13.6,1.04,0.145,12.8,15.6,7.25,8.34,8.22,18,12,19,16,"7",NA,NA,49
"19","Rhamondre Stevenson","RB","NE",13.4,1.75,0.0367,11.8,16.7,7.1,7.34,9.29,19,16,12,17,"7",NA,NA,90
"20","D'Andre Swift","RB","CHI",13.4,1.65,0.0217,11.6,16.3,7.07,7.09,8.93,20,18,15,18,"7",NA,NA,81
"21","Tony Pollard","RB","TEN",13.4,1.31,0.533,11.9,14.8,7.04,7.45,7.38,21,15,21,19,"7",NA,NA,74
"22","A.J. Brown","WR","PHI",16.5,1.43,0.397,13.9,18,6.8,5.28,6.3,22,33,26,3,"2",NA,NA,69
"23","Tyrone Tracy","RB","NYG",12.9,1.21,0.296,10.7,13.8,6.51,6.21,6.44,23,27,24,20,"7",NA,NA,68
"24","Nico Collins","WR","HOU",16.1,1.39,0.319,13.6,17.6,6.4,5,5.9,24,35,29,4,"3",NA,NA,65
"25","Travis Kelce","TE","KC",15.1,1.18,1.06,13.1,16.5,6.27,6.42,6.33,25,26,25,1,"1",NA,NA,83
"26","Najee Harris","RB","PIT",12.6,1.09,0.186,11.3,14.1,6.22,6.83,6.68,26,20,23,21,"8",NA,NA,51
"27","CeeDee Lamb","WR","DAL",15.8,0.978,0.096,14.3,17.1,6.08,5.71,5.48,27,30,35,5,"3",NA,NA,25
"28","Rachaad White","RB","TB",12.4,1.19,0.299,11.1,14.5,6.03,6.62,7.1,28,22,22,22,"8",NA,NA,66
"29","Puka Nacua","WR","LAR",15.7,1.11,0.433,13.8,16.8,5.98,5.18,5.16,29,34,38,6,"3",NA,NA,41
"30","Chuba Hubbard","RB","CAR",12.1,0.865,0.769,11,13.2,5.73,6.54,5.85,30,23,30,23,"9",NA,NA,25
"31","Lamar Jackson","QB","BAL",21.9,0.846,0.442,20.8,23.3,5.64,6.52,5.44,31,25,36,1,"1",NA,NA,14
"32","Cooper Kupp","WR","LAR",15.3,1.26,0.04,12.7,16,5.55,4.11,4.35,32,40,45,7,"3",NA,NA,55
"33","Tyreek Hill","WR","MIA",15.2,1.58,0.232,12.5,17.4,5.51,3.88,5.69,33,42,32,8,"3",NA,NA,83
"34","Mike Evans","WR","TB",15,2.14,0.193,12.9,17.9,5.28,4.27,6.26,34,39,27,9,"4",NA,NA,97
"35","Brock Bowers","TE","LVR",14,1.03,1.36,12.7,15.5,5.21,6,5.41,35,28,37,2,"2",NA,NA,69
