"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",22.3,1.09,5.05,20.8,23.4,14,13.2,13.1,1,1,1,1,"1",NA,NA,54
"2","CeeDee Lamb","WR","DAL",21.4,1.72,0.881,19.4,23.8,10.3,10.8,10.8,2,2,2,1,"1",NA,NA,82
"3","Tyreek Hill","WR","MIA",20.5,2.34,1.26,16.8,23.3,9.44,8.16,10.3,3,4,3,2,"2",NA,NA,96
"4","Alvin Kamara","RB","NO",17.3,1.47,0.465,14.5,18.6,8.95,6.93,8.34,4,8,8,2,"1",NA,NA,83
"5","Travis Kelce","TE","KC",17.1,2.18,3.67,13.8,19.8,8.73,6.62,8.67,5,11,7,1,"1",NA,NA,99
"6","Jonathan Taylor","RB","IND",16.8,1.49,0.26,15.3,19.3,8.49,7.8,8.99,6,7,6,3,"1",NA,NA,84
"7","Austin Ekeler","RB","LAC",16.6,1.31,0.726,14.4,17.6,8.23,6.92,7.33,7,9,13,4,"2",NA,NA,77
"8","A.J. Brown","WR","PHI",19.3,1.93,0.141,17.1,22.1,8.18,8.47,9.14,8,3,5,3,"2",NA,NA,91
"9","Keenan Allen","WR","LAC",19.1,2.13,0.949,16.6,22.4,8.04,7.95,9.45,9,6,4,4,"3",NA,NA,94
"10","Jahmyr Gibbs","RB","DET",15.8,3.18,0.2,9.4,17.9,7.5,1.88,7.61,10,71,12,5,"2",NA,NA,99
"11","Saquon Barkley","RB","NYG",15.6,1.42,0.0208,13.5,17.3,7.3,5.98,7,11,15,15,6,"2",NA,NA,80
"12","Travis Etienne","RB","JAC",15.6,1.71,0.261,12.8,18.1,7.28,5.26,7.82,12,17,11,7,"2",NA,NA,91
"13","Amon-Ra St. Brown","WR","DET",18.2,1.05,0.66,16.7,19.8,7.09,8.04,6.84,13,5,17,5,"3",NA,NA,39
"14","Joe Mixon","RB","CIN",15.4,1.52,0.125,13.7,18.2,7.02,6.2,7.95,14,14,9,8,"3",NA,NA,86
"15","D'Andre Swift","RB","PHI",15.2,1.41,0.161,13.9,17.5,6.89,6.41,7.16,15,12,14,9,"3",NA,NA,79
"16","Rachaad White","RB","TB",15.1,1.45,0.167,12.4,16.4,6.73,4.86,6.11,16,22,21,10,"3",NA,NA,82
"17","Breece Hall","RB","NYJ",14.9,1.19,0.573,12.9,16.3,6.57,5.41,5.98,17,16,22,11,"3",NA,NA,64
"18","Stefon Diggs","WR","BUF",17.5,1.52,2.05,15.4,19.8,6.43,6.74,6.87,18,10,16,6,"4",NA,NA,70
"19","Josh Jacobs","RB","LVR",14.3,1.14,0.0693,12.7,16.2,5.99,5.2,5.93,19,18,25,12,"4",NA,NA,57
"20","Kyren Williams","RB","LAR",14.3,1.58,0.0536,11.5,16.5,5.92,4.01,6.2,20,38,20,13,"4",NA,NA,88
"21","Josh Allen","QB","BUF",23.2,2.33,0.43,20.4,26.7,5.88,5.1,7.87,21,20,10,1,"1",NA,NA,96
