"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Travis Kelce","TE","KC",20.2,1.39,5.18,18.7,21.9,12.1,11.8,12.1,1,2,2,1,"1",NA,NA,91
"2","Christian McCaffrey","RB","SF",20.5,1.39,2.3,18.8,22.7,11.9,12.3,12.3,2,1,1,1,"1",NA,NA,66
"3","Tyreek Hill","WR","MIA",22.2,2.07,1.84,19.5,24.1,10.5,9.8,10.6,3,3,4,1,"1",NA,NA,93
"4","Austin Ekeler","RB","LAC",18.2,1.49,0.659,16,20.3,9.62,9.5,9.9,4,4,7,2,"1",NA,NA,73
"5","Tony Pollard","RB","DAL",17.5,1.73,0.126,15.2,20.4,8.96,8.73,10,5,7,6,3,"1",NA,NA,87
"6","Alvin Kamara","RB","NO",17.4,1.84,1.01,15.4,19.5,8.84,8.84,9.06,6,5,10,4,"2",NA,NA,92
"7","Ja'Marr Chase","WR","CIN",20.4,2.6,0.18,17.9,24.5,8.62,8.25,11,7,10,3,2,"1",NA,NA,99
"8","Stefon Diggs","WR","BUF",20.2,1.72,0.91,18.5,22.9,8.44,8.83,9.43,8,6,8,3,"1",NA,NA,85
"9","Travis Etienne","RB","JAC",16.4,1.46,0.247,14.4,18.9,7.83,7.87,8.43,9,13,12,5,"2",NA,NA,70
"10","Jahmyr Gibbs","RB","DET",16.2,3.07,0.233,10.6,19.5,7.59,4.12,9.1,10,34,9,6,"3",NA,NA,99
"11","Keenan Allen","WR","LAC",19.3,1.25,0.296,18,21.3,7.53,8.27,7.82,11,9,15,4,"2",NA,NA,50
"12","Jonathan Taylor","RB","IND",15.9,2.51,0.214,13.5,20.5,7.35,7.01,10.1,12,18,5,7,"3",NA,NA,97
"13","A.J. Brown","WR","PHI",19,1.75,0.799,17.8,22.4,7.23,8.13,8.95,13,11,11,5,"2",NA,NA,86
"14","Saquon Barkley","RB","NYG",15.7,1.57,0.0238,13.6,17.7,7.14,7.07,7.3,14,17,16,8,"3",NA,NA,79
"15","Isiah Pacheco","RB","KC",15.7,1.49,0.446,14.4,18.6,7.11,7.92,8.18,15,12,14,9,"3",NA,NA,74
"16","Mark Andrews","TE","BAL",15,2.63,1.37,10.9,18.1,6.91,4.01,8.32,16,38,13,2,"2",NA,NA,99
"17","Patrick Mahomes","QB","KC",23.2,0.817,0.228,22.5,24.5,6.82,8.47,5.59,17,8,27,1,"1",NA,NA,38
"18","Raheem Mostert","RB","MIA",15.2,1.76,0.131,12.3,17.2,6.67,5.83,6.78,18,25,19,10,"3",NA,NA,88
"19","Lamar Jackson","QB","BAL",23,1.58,0.372,20.9,24.8,6.59,6.85,5.86,19,20,24,2,"1",NA,NA,76
"20","Kenneth Walker III","RB","SEA",15.1,1.27,0.0268,14,17.1,6.54,7.45,6.69,20,14,20,11,"3",NA,NA,60
"21","Breece Hall","RB","NYJ",15.1,1.03,0.00315,13.5,16.1,6.51,6.97,5.62,21,19,26,12,"3",NA,NA,46
"22","Josh Jacobs","RB","LVR",15.1,1.42,0.0308,13.2,17,6.51,6.65,6.57,22,22,22,13,"3",NA,NA,68
"23","D'Andre Swift","RB","PHI",15.1,1.53,0.229,13.6,17.4,6.48,7.09,6.99,23,16,18,14,"3",NA,NA,76
"24","Amon-Ra St. Brown","WR","DET",18.2,1.52,0.191,15.2,19.6,6.44,5.56,6.21,24,27,23,6,"2",NA,NA,71
"25","Bijan Robinson","RB","ATL",14.8,1.65,1.4,12.7,17.5,6.25,6.2,7.05,25,23,17,15,"4",NA,NA,81
"26","Cooper Kupp","WR","LAR",18,1.22,1.51,16.4,20,6.24,6.76,6.6,26,21,21,7,"3",NA,NA,46
"27","Jalen Hurts","QB","PHI",22.6,0.929,0.739,21.1,23.5,6.22,7.13,4.58,27,15,33,3,"2",NA,NA,43
"28","T.J. Hockenson","TE","MIN",13.6,1.09,2.67,12,14.8,5.54,5.08,5.04,28,28,29,3,"3",NA,NA,68
"29","Josh Allen","QB","BUF",21.9,1.35,1.11,19.9,23.9,5.48,5.89,4.99,29,24,30,4,"3",NA,NA,64
"30","Derrick Henry","RB","TEN",13.4,1.54,0.244,11,15.8,4.85,4.49,5.39,30,31,28,16,"4",NA,NA,78
"31","Davante Adams","WR","LVR",16.5,0.799,0.489,15.4,17.9,4.73,5.67,4.42,31,26,34,8,"3",NA,NA,20
"32","James Cook","RB","BUF",13.2,1.48,0.423,10.2,14.3,4.6,3.72,3.84,32,41,39,17,"4",NA,NA,72
"33","Justin Herbert","QB","LAC",20.7,1.67,1.72,18.6,23,4.37,4.62,4.09,33,30,35,5,"4",NA,NA,83
"34","CeeDee Lamb","WR","DAL",16,1.59,0.0557,13.8,18.3,4.24,4.07,4.86,34,37,32,9,"3",NA,NA,77
"35","Puka Nacua","WR","LAR",16,2.01,0.00385,13.1,19.1,4.19,3.41,5.65,35,43,25,10,"3",NA,NA,92
"36","Adam Thielen","WR","CAR",16,0.92,0.706,14.5,17,4.19,4.81,3.54,36,29,43,11,"4",NA,NA,31
"37","Joe Mixon","RB","CIN",12.8,1.67,0.361,10.3,15.3,4.18,3.84,4.89,37,40,31,18,"5",NA,NA,83
"38","Aaron Jones","RB","GB",12.4,1.67,0.0341,10.6,14.4,3.82,4.1,3.98,38,35,37,19,"5",NA,NA,81
"39","Rhamondre Stevenson","RB","NE",12.4,1.24,0.227,10.6,14.3,3.79,4.09,3.91,39,36,38,20,"5",NA,NA,57
"40","Rachaad White","RB","TB",12.1,0.927,0.878,10.9,13.3,3.56,4.37,2.88,40,32,48,21,"6",NA,NA,42
"41","D.J. Moore","WR","CHI",15.3,1.42,0.00227,13.7,17.5,3.48,3.96,4.03,41,39,36,12,"4",NA,NA,62
"42","Brandon Aiyuk","WR","SF",15.3,1.39,0.46,13.2,17,3.48,3.55,3.55,42,42,42,13,"4",NA,NA,60
"43","Mike Evans","WR","TB",14.8,1.23,0.359,13,16.2,3.02,3.32,2.73,43,44,49,14,"4",NA,NA,49
"44","Sam LaPorta","TE","DET",11,0.947,0.155,9.81,12.5,2.87,2.9,2.68,44,49,50,4,"3",NA,NA,55
"45","George Kittle","TE","SF",10.8,1.19,0.206,9.28,12.4,2.72,2.37,2.63,45,58,51,5,"4",NA,NA,79
"46","Alexander Mattison","RB","MIN",11.3,1.7,0.218,9.54,14,2.68,3.03,3.58,46,47,41,22,"6",NA,NA,84
"47","Christian Kirk","WR","JAC",14.4,1.54,0.0148,12.4,16.6,2.66,2.69,3.15,47,52,46,15,"4",NA,NA,73
"48","Tua Tagovailoa","QB","MIA",19,0.546,1.52,18.3,19.6,2.65,4.26,0.656,48,33,88,6,"5",NA,NA,28
"49","Jordan Addison","WR","MIN",14.4,1.5,0.0945,12.1,16.5,2.64,2.37,3.05,49,59,47,16,"4",NA,NA,68
"50","Jaylen Waddle","WR","MIA",14.3,1.21,0.272,12.4,15.8,2.55,2.75,2.42,50,51,55,17,"5",NA,NA,43
