"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Austin Ekeler","RB","LAC",21.9,1.34,1.96,20.6,24,12.7,13.1,12.6,1,1,2,1,"1",NA,NA,63
"2","Travis Kelce","TE","KC",20.3,2.04,3.54,17.9,22.6,11.9,10.5,13.3,2,3,1,1,"1",NA,NA,97
"3","Christian McCaffrey","RB","SF",20,0.511,1.33,19.6,20.7,10.7,12.1,9.37,3,2,7,2,"2",NA,NA,18
"4","Josh Allen","QB","BUF",27.1,1.56,3.42,25.6,28.9,10.5,10,10.8,4,5,3,1,"1",NA,NA,75
"5","Stefon Diggs","WR","BUF",21.6,1.86,0.265,19.5,23.3,10.1,9.64,10.4,5,7,5,1,"1",NA,NA,79
"6","Tyreek Hill","WR","MIA",21.4,1.53,0.0752,19.9,23.4,9.81,10,10.6,6,4,4,2,"1",NA,NA,66
"7","Davante Adams","WR","LVR",21.3,1.36,2.57,19.5,22.8,9.73,9.72,9.95,7,6,6,3,"2",NA,NA,55
"8","Derrick Henry","RB","TEN",18.6,1.71,0.926,16.4,20.6,9.41,8.9,9.29,8,9,8,3,"3",NA,NA,82
"9","Josh Jacobs","RB","LVR",17.7,1.09,0.024,16.5,19.2,8.49,9.02,7.86,9,8,11,4,"3",NA,NA,53
"10","Saquon Barkley","RB","NYG",17.7,0.916,0.153,16.2,18.5,8.47,8.71,7.12,10,11,16,5,"3",NA,NA,44
"11","Mark Andrews","TE","BAL",16.7,1.69,5.12,14.8,18.4,8.39,7.44,9.08,11,14,9,2,"2",NA,NA,91
"12","Kenneth Walker III","RB","SEA",17.5,1.03,0.0519,16.1,18.7,8.31,8.61,7.34,12,12,15,6,"3",NA,NA,48
"13","Jonathan Taylor","RB","IND",17.5,1.13,1.13,16.2,18.7,8.26,8.71,7.38,13,10,14,7,"4",NA,NA,54
"14","Justin Jefferson","WR","MIN",18.7,1.56,0.156,16.9,20.8,7.17,7.12,7.87,14,15,10,4,"2",NA,NA,68
"15","Rhamondre Stevenson","RB","NE",16.4,0.618,0.35,15.4,17,7.13,7.96,5.68,15,13,26,8,"4",NA,NA,26
"16","Patrick Mahomes","QB","KC",23.7,1.34,1.41,22.4,25.7,7.03,6.75,7.6,16,21,13,2,"2",NA,NA,64
"17","DeAndre Hopkins","WR","ARI",18.6,1.6,1.11,16.6,20.7,7.01,6.79,7.77,17,18,12,5,"3",NA,NA,70
"18","Tony Pollard","RB","DAL",16,2.27,0.165,12.4,18.3,6.78,4.93,6.97,18,34,17,9,"4",NA,NA,96
"19","Travis Etienne","RB","JAC",15.8,1.44,0.199,14.2,17.4,6.62,6.76,6.09,19,19,24,10,"5",NA,NA,69
"20","Alvin Kamara","RB","NO",15.6,1.39,0.115,14.5,17.7,6.42,7.03,6.4,20,16,19,11,"5",NA,NA,66
"21","Aaron Jones","RB","GB",15.5,1.79,0.0339,13,17.6,6.3,5.51,6.25,21,30,21,12,"5",NA,NA,87
"22","Dalvin Cook","RB","MIN",15.5,0.865,0.235,14.2,16.4,6.27,6.75,5.08,22,20,31,13,"5",NA,NA,40
"23","Nick Chubb","RB","CLE",15.3,1.22,0.0473,13.7,16.8,6.03,6.2,5.45,23,22,29,14,"5",NA,NA,61
"24","James Conner","RB","ARI",15.2,0.882,0.991,14.4,16.2,5.99,6.94,4.87,24,17,34,15,"6",NA,NA,41
"25","Tee Higgins","WR","CIN",17.5,1.62,0.15,15.8,19.2,5.9,5.94,6.34,25,24,20,6,"3",NA,NA,72
