"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Cooper Kupp","WR","LAR",23,1.6,2.18,20.7,24.6,11.1,10.5,10.3,1,3,3,1,"1",NA,NA,57
"2","Christian McCaffrey","RB","CAR",20.2,0.644,0.0281,19.1,20.8,10,11.8,9.35,2,1,10,1,"1",NA,NA,21
"3","Jonathan Taylor","RB","IND",20.1,1.56,0.0282,17.4,21.3,10,10.1,9.84,3,4,6,2,"1",NA,NA,71
"4","Saquon Barkley","RB","NYG",20.1,1.41,1.32,18.3,21.8,9.98,10.9,10.4,4,2,2,3,"2",NA,NA,67
"5","Mark Andrews","TE","BAL",18.3,1.93,0.297,15.8,20.2,9.56,8.97,10.3,5,7,4,1,"1",NA,NA,90
"6","Travis Kelce","TE","KC",18,1.52,3.92,16.2,19.7,9.27,9.44,9.76,6,6,7,2,"2",NA,NA,79
"7","Stefon Diggs","WR","BUF",20.9,1.98,0.918,18.7,23.5,8.92,8.6,9.11,7,9,11,2,"1",NA,NA,74
"8","Austin Ekeler","RB","LAC",18.8,0.884,0.61,17.4,19.7,8.66,10.1,8.19,8,5,12,4,"2",NA,NA,37
"9","Leonard Fournette","RB","TB",18.2,1.98,1.16,15.8,21.2,8.05,8.5,9.71,9,10,8,5,"3",NA,NA,85
"10","Davante Adams","WR","LVR",19.9,1.34,0.619,18,21.4,8,7.85,7.09,10,13,19,3,"2",NA,NA,46
"11","Josh Allen","QB","BUF",25.3,1.81,0.483,23.7,28.3,7.91,8.25,9.42,11,11,9,1,"1",NA,NA,85
"12","Lamar Jackson","QB","BAL",24.8,2.57,0.124,22.6,29,7.42,7.11,10.1,12,16,5,2,"1",NA,NA,97
"13","Justin Jefferson","WR","MIN",19.3,1.33,0.0392,17.7,20.8,7.38,7.55,6.4,13,14,26,4,"2",NA,NA,46
"14","Ja'Marr Chase","WR","CIN",19.3,2.45,0.237,16.5,22.4,7.34,6.31,8.05,14,21,14,5,"2",NA,NA,87
"15","Jalen Hurts","QB","PHI",24.7,3.31,3.85,21.7,29.7,7.3,6.2,10.8,15,23,1,3,"2",NA,NA,98
"16","Tyreek Hill","WR","MIA",19.1,1.99,0.792,16.3,21.3,7.11,6.18,6.9,16,24,21,6,"3",NA,NA,75
"17","Aaron Jones","RB","GB",17,0.599,0.00356,16.2,17.8,6.89,8.83,6.29,17,8,27,6,"3",NA,NA,20
"18","Alvin Kamara","RB","NO",17,NA,0.0601,NA,NA,6.88,NA,NA,18,NA,NA,7,"3",NA,NA,NA
"19","Joe Mixon","RB","CIN",16.9,1.01,0.342,15.4,18.1,6.82,8.08,6.59,19,12,25,8,"4",NA,NA,45
"20","Nick Chubb","RB","CLE",16.6,2.14,0.0595,13,18.8,6.48,5.72,7.28,20,26,16,9,"4",NA,NA,92
"21","Najee Harris","RB","PIT",16.5,1.78,0.0537,14.6,19.3,6.42,7.3,7.85,21,15,15,10,"4",NA,NA,80
"22","Derrick Henry","RB","TEN",16.5,1.84,0.662,13.6,18.2,6.37,6.28,6.73,22,22,23,11,"4",NA,NA,83
"23","Jaylen Waddle","WR","MIA",18.3,1.69,0.556,15.9,20,6.31,5.8,5.68,23,25,33,7,"3",NA,NA,63
"24","A.J. Brown","WR","PHI",17.7,2.16,0.153,15.2,20.4,5.76,5.05,6.05,24,33,30,8,"3",NA,NA,79
"25","Khalil Herbert","RB","CHI",15.8,1.67,0.191,14.3,18.6,5.7,7.02,7.07,25,17,20,12,"4",NA,NA,79
"26","Diontae Johnson","WR","PIT",17.6,1.7,0.136,15.7,19.4,5.6,5.59,5.09,26,28,46,9,"3",NA,NA,63
"27","Dalvin Cook","RB","MIN",15.6,2.06,0.0146,13.7,18.7,5.51,6.4,7.23,27,20,17,13,"5",NA,NA,88
"28","Javonte Williams","RB","DEN",15.6,1.83,0.137,13.9,18.7,5.5,6.57,7.16,28,19,18,14,"5",NA,NA,82
"29","Deebo Samuel","WR","SF",17.4,1.46,0.107,15,18.8,5.47,4.89,4.4,29,36,54,10,"3",NA,NA,50
"30","Jamaal Williams","RB","DET",15.5,1.34,0.441,14.3,17.7,5.36,6.95,6.21,31,18,28,15,"5",NA,NA,61
"31","Mike Evans","WR","TB",17.3,1.82,0.141,15.6,19.6,5.36,5.43,5.25,30,29,42,11,"3",NA,NA,69
"32","Darren Waller","TE","LVR",14,1.67,1.38,12.4,16.8,5.35,5.64,6.79,32,27,22,3,"3",NA,NA,85
"33","Michael Pittman","WR","IND",17.2,2.37,0.619,15,19.9,5.22,4.82,5.52,33,38,35,12,"4",NA,NA,85
"34","Cordarrelle Patterson","RB","ATL",15,1.63,0.93,12.6,17,4.92,5.23,5.56,34,32,34,16,"6",NA,NA,76
"35","CeeDee Lamb","WR","DAL",16.5,2.83,0.0448,12.5,19.7,4.6,2.4,5.34,35,65,39,13,"4",NA,NA,93
"36","Amari Cooper","WR","CLE",16.5,2.05,0.0749,14.7,19.4,4.56,4.51,5.08,36,39,47,14,"4",NA,NA,76
"37","Mike Williams","WR","LAC",16.4,2.42,0.0758,13,19.6,4.48,2.81,5.27,37,55,41,15,"4",NA,NA,87
"38","Courtland Sutton","WR","DEN",16.4,4.05,0.194,12.5,22.5,4.41,2.39,8.12,38,66,13,16,"4",NA,NA,99
"39","Chris Olave","WR","NO",16.2,3.03,0.0611,13,19.7,4.21,2.84,5.33,39,54,40,17,"4",NA,NA,95
"40","Marquise Brown","WR","ARI",16.1,2.34,0.182,12.5,18.4,4.15,2.33,4.04,40,68,58,18,"4",NA,NA,84
"41","James Robinson","RB","JAC",14.1,1.46,0.215,12.7,16,3.99,5.33,4.52,41,31,52,17,"6",NA,NA,69
"42","George Kittle","TE","SF",12.7,2.25,0.357,11.1,16.7,3.98,4.37,6.68,42,40,24,4,"3",NA,NA,97
"43","Drake London","WR","ATL",15.9,2.47,0.0454,13.5,19.5,3.97,3.39,5.11,43,48,45,19,"4",NA,NA,88
"44","DK Metcalf","WR","SEA",15.9,1.6,0.131,13.9,17.5,3.92,3.74,3.15,44,44,68,20,"5",NA,NA,55
"45","Tee Higgins","WR","CIN",15.7,1.93,0.441,13.4,17.9,3.79,3.25,3.53,45,49,64,21,"5",NA,NA,73
"46","Josh Jacobs","RB","LVR",13.9,1.19,0.368,12.7,15.9,3.78,5.42,4.4,46,30,55,18,"6",NA,NA,54
"47","T.J. Hockenson","TE","DET",12.3,2.3,0.259,9.56,15.9,3.62,2.78,5.97,47,57,31,5,"3",NA,NA,98
"48","Justin Herbert","QB","LAC",20.9,1.19,0.16,19.4,22.7,3.45,3.95,3.79,48,43,61,4,"2",NA,NA,59
"49","Dameon Pierce","RB","HOU",13.5,2,0.229,12.1,17,3.41,4.82,5.46,49,37,36,19,"7",NA,NA,86
"50","Kyle Pitts","TE","ATL",12.1,0.754,0.162,10.8,13,3.36,4.06,2.99,50,42,69,6,"3",NA,NA,38
"51","Brandin Cooks","WR","HOU",15.3,2.15,0.103,13.3,17.8,3.35,3.19,3.47,51,51,65,22,"5",NA,NA,78
"52","Patrick Mahomes","QB","KC",20.7,1.61,0.869,19.1,22.7,3.29,3.65,3.8,52,45,60,5,"3",NA,NA,79
"53","Tyler Lockett","WR","SEA",15.2,2.38,0.265,12.8,19.1,3.25,2.63,4.75,53,59,49,23,"5",NA,NA,86
"54","Zach Ertz","TE","ARI",11.9,1.92,0.0411,10,15.1,3.2,3.22,5.17,54,50,43,7,"4",NA,NA,89
"55","Ezekiel Elliott","RB","DAL",13.3,0.849,0.128,12.2,14.3,3.18,4.91,2.81,55,35,70,20,"7",NA,NA,34
"56","Gerald Everett","TE","LAC",11.9,2.1,0.146,9.87,15.4,3.16,3.09,5.39,56,52,38,8,"4",NA,NA,96
"57","Antonio Gibson","RB","WAS",13.2,0.864,0.0926,12.2,14.2,3.05,4.91,2.75,57,34,72,21,"7",NA,NA,35
"58","Dallas Goedert","TE","PHI",11.7,2.63,0.261,9.15,16.1,3.01,2.37,6.1,58,67,29,9,"4",NA,NA,99
"59","Christian Kirk","WR","JAC",14.9,2.68,0.346,12.8,19.5,2.98,2.63,5.12,59,58,44,24,"5",NA,NA,90
"60","James Conner","RB","ARI",13.1,1.82,0.0138,10.1,15.2,2.96,2.81,3.75,60,56,62,22,"7",NA,NA,81
"61","Rashaad Penny","RB","SEA",13.1,2.06,0.347,10.8,15.9,2.94,3.49,4.46,61,46,53,23,"7",NA,NA,88
"62","Tyler Higbee","TE","LAR",11.4,2.55,1.92,9.04,15.7,2.75,2.26,5.78,62,69,32,10,"5",NA,NA,99
"63","Gabriel Davis","WR","BUF",14.6,2.79,0.728,10.4,17.6,2.64,0.211,3.26,63,95,66,25,"6",NA,NA,91
"64","Jeffery Wilson","RB","SF",12.7,1.11,0.324,11.4,13.9,2.6,4.09,2.41,64,41,74,24,"7",NA,NA,49
"65","Kyler Murray","QB","ARI",19.8,1.22,0.211,18.1,21.2,2.42,2.6,2.28,65,61,76,6,"3",NA,NA,61
"66","Breece Hall","RB","NYJ",12.4,2.67,0.255,9.88,16.9,2.27,2.55,5.44,66,63,37,25,"8",NA,NA,97
"67","Joe Burrow","QB","CIN",19.6,0.578,0.896,18.9,20.3,2.21,3.39,1.4,67,47,88,7,"4",NA,NA,38
"68","AJ Dillon","RB","GB",12.1,1.3,0.0574,10.3,14,2.02,2.97,2.56,68,53,73,26,"8",NA,NA,59
"69","Miles Sanders","RB","PHI",12.1,2.04,0.0599,8.95,14.7,1.96,1.63,3.22,69,74,67,27,"8",NA,NA,87
"70","Josh Reynolds","WR","DET",13.9,2.95,0.154,11.2,18.9,1.91,1.07,4.56,70,80,51,26,"6",NA,NA,93
"71","Rhamondre Stevenson","RB","NE",12,2.26,0.0915,9.83,15.8,1.9,2.51,4.29,71,64,57,28,"8",NA,NA,93
"72","Clyde Edwards-Helaire","RB","KC",11.9,2.08,0.433,9.9,15.1,1.81,2.57,3.61,72,62,63,29,"8",NA,NA,89
"73","Terry McLaurin","WR","WAS",13.7,3.24,0.00692,11,19,1.76,0.852,4.62,73,83,50,27,"6",NA,NA,97
"74","Garrett Wilson","WR","NYJ",13.7,1.8,0.278,11.5,16.2,1.75,1.36,1.83,74,78,80,28,"6",NA,NA,69
"75","Allen Lazard","WR","GB",13.4,3.24,0.375,10.1,18.3,1.47,-0.073,3.96,75,108,59,29,"7",NA,NA,98
"76","Devin Singletary","RB","BUF",11.5,1.65,0.175,9.43,13.7,1.38,2.1,2.17,76,71,77,30,"8",NA,NA,78
"77","Aaron Rodgers","QB","GB",18.7,1,0.481,17.6,20,1.31,2.15,1.05,77,70,91,8,"4",NA,NA,51
"78","Kareem Hunt","RB","CLE",11.3,1.28,0.206,9.93,13,1.2,2.61,1.52,78,60,86,31,"9",NA,NA,57
"79","DeVonta Smith","WR","PHI",13,1.13,0.0285,11.6,14.7,1.1,1.47,0.302,79,77,96,30,"7",NA,NA,36
"80","JuJu Smith-Schuster","WR","KC",13,3.34,0.123,9.91,18.7,1.07,-0.239,4.36,80,114,56,31,"7",NA,NA,99
"81","Michael Carter","RB","NYJ",11.1,1.35,0.445,9.38,13,0.995,2.05,1.53,81,72,85,32,"9",NA,NA,62
"82","Chris Godwin","WR","TB",12.9,3.17,0.371,8.75,16.2,0.946,-1.4,1.86,82,167,79,32,"7",NA,NA,96
"83","Pat Freiermuth","TE","PIT",9.53,1.94,0.376,6.78,11.7,0.835,0,1.76,83,103,84,11,"6",NA,NA,91
"84","Tom Brady","QB","TB",18.2,2.3,0.558,14.5,20.4,0.834,-0.995,1.43,84,151,87,9,"5",NA,NA,93
"85","Steelers","DST","PIT",6.92,0.769,0.326,6.06,8.03,0.706,0.571,0.985,85,89,92,1,"1",NA,NA,84
"86","Younghoe Koo","K","ATL",9.57,0.546,0.0503,8.76,10.2,0.577,1.04,0,86,81,103,1,"1",NA,NA,1
"87","Rashod Bateman","WR","BAL",12.5,2.19,0.137,10,16.1,0.575,-0.133,1.77,87,111,82,33,"7",NA,NA,80
"88","Damien Harris","RB","NE",10.7,1.59,0.0658,8.87,13.3,0.549,1.55,1.77,88,76,83,33,"9",NA,NA,72
"89","Daniel Carlson","K","LVR",9.52,0.921,0.0936,8.48,11.1,0.527,0.755,0.88,89,85,93,2,"1",NA,NA,19
"90","Tony Pollard","RB","DAL",10.6,0.752,0.483,9.31,11.3,0.483,1.98,-0.214,90,73,111,34,"9",NA,NA,27
"91","David Njoku","TE","CLE",9.16,0.587,0.46,8.35,9.83,0.46,1.57,-0.142,91,75,110,12,"6",NA,NA,27
"92","Romeo Doubs","WR","GB",12.4,2.65,0.122,9.18,16.6,0.437,-0.966,2.29,92,149,75,34,"7",NA,NA,90
"93","Chase McLaughlin","K","IND",9.42,2.1,0.147,7.47,13,0.433,-0.25,2.8,93,115,71,3,"1",NA,NA,99
