"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",20.6,3.14,1.09,15.8,23.6,10.6,8.36,12.7,1,4,1,1,"1",NA,NA,97
"2","Saquon Barkley","RB","NYG",19.5,1.25,0.167,18.3,21.1,9.51,10.8,10.1,2,1,3,2,"1",NA,NA,50
"3","Justin Jefferson","WR","MIN",21.7,3.14,0.504,17.2,25,9.44,7.07,11.9,3,11,2,1,"1",NA,NA,97
"4","Austin Ekeler","RB","LAC",19.4,1.04,1.31,18.1,20.5,9.34,10.6,9.52,4,2,6,3,"2",NA,NA,40
"5","Tyreek Hill","WR","MIA",21.1,2.13,0.792,17.9,22.8,8.93,7.72,9.61,5,8,4,2,"1",NA,NA,79
"6","Travis Kelce","TE","KC",18.4,1.46,4.18,16.2,19.5,8.86,8.01,8.66,6,5,11,1,"1",NA,NA,77
"7","Amon-Ra St. Brown","WR","DET",20.4,1.83,1.04,17.9,22,8.14,7.75,8.88,7,7,9,3,"2",NA,NA,73
"8","James Conner","RB","ARI",18.1,1.3,1.39,16.4,19.6,8.03,8.89,8.62,8,3,12,4,"3",NA,NA,55
"9","Josh Allen","QB","BUF",24.6,2.82,1.66,20.7,28.1,7.46,5.29,9.56,9,21,5,1,"1",NA,NA,98
"10","Ja'Marr Chase","WR","CIN",19.3,2.74,0.307,14.8,21.7,7.11,4.64,8.5,10,27,14,4,"2",NA,NA,92
"11","CeeDee Lamb","WR","DAL",19,1.64,0.333,16.8,20.8,6.8,6.67,7.63,11,16,20,5,"3",NA,NA,67
"12","Joe Mixon","RB","CIN",16.7,1.36,0.0947,15.4,18.8,6.64,7.96,7.81,12,6,17,5,"3",NA,NA,58
"13","Rhamondre Stevenson","RB","NE",16.6,1.79,0.157,14.7,19.1,6.54,7.2,8.17,13,10,16,6,"3",NA,NA,79
"14","Davante Adams","WR","LVR",18.7,2.8,0.369,15.1,21.7,6.47,4.9,8.53,14,23,13,6,"3",NA,NA,93
"15","Alvin Kamara","RB","NO",16.4,1.55,0.25,14.9,18.7,6.39,7.38,7.71,15,9,18,7,"3",NA,NA,70
"16","Leonard Fournette","RB","TB",16.2,2.65,0.232,14.5,20.4,6.14,7.06,9.45,16,12,7,8,"3",NA,NA,95
"17","DK Metcalf","WR","SEA",18.3,2.72,0.546,16,22,6.1,5.81,8.82,17,18,10,7,"4",NA,NA,90
"18","Travis Etienne","RB","JAC",15.9,1.28,0.238,14.3,17.2,5.91,6.77,6.27,18,14,28,9,"4",NA,NA,52
"19","Patrick Mahomes","QB","KC",23,1.57,1.57,21.1,24.8,5.8,5.72,6.24,19,19,30,2,"2",NA,NA,71
"20","Dalvin Cook","RB","MIN",15.7,1.68,0.332,12.9,17.2,5.67,5.45,6.21,20,20,31,10,"4",NA,NA,76
"21","Keenan Allen","WR","LAC",17.8,3.68,0.153,14.1,22.3,5.55,3.97,9.12,21,38,8,8,"4",NA,NA,99
"22","A.J. Brown","WR","PHI",17.6,3.08,0.307,14.4,21.6,5.4,4.26,8.48,22,32,15,9,"4",NA,NA,96
"23","David Montgomery","RB","CHI",15.4,1.35,0.0214,14.3,17.4,5.34,6.86,6.5,23,13,25,11,"4",NA,NA,56
"24","Josh Jacobs","RB","LVR",15.4,1.37,0.544,14.2,16.9,5.31,6.68,5.93,24,15,36,12,"4",NA,NA,60
"25","Stefon Diggs","WR","BUF",17.3,2.3,0.246,13.9,19.4,5.09,3.78,6.26,25,41,29,10,"4",NA,NA,84
"26","Chris Godwin","WR","TB",17.1,2.23,0.344,14.7,19.5,4.85,4.54,6.31,26,28,27,11,"5",NA,NA,82
"27","Kenneth Walker III","RB","SEA",14.8,1.58,0.0576,13.4,16.8,4.77,5.88,5.9,27,17,37,13,"4",NA,NA,71
"28","Ezekiel Elliott","RB","DAL",14.7,2.11,0.264,12.4,17.5,4.71,4.87,6.59,28,24,24,14,"5",NA,NA,85
"29","Evan Engram","TE","JAC",14.2,3.49,0.103,11,18.5,4.69,2.85,7.66,29,48,19,2,"1",NA,NA,99
"30","George Kittle","TE","SF",14.1,3.46,0.455,10,18.3,4.58,1.85,7.48,30,60,21,3,"1",NA,NA,98
"31","Tee Higgins","WR","CIN",16.7,1.77,0.0397,14.2,18,4.5,4.04,4.88,31,37,50,12,"5",NA,NA,72
"32","Jaylen Waddle","WR","MIA",16.7,2.15,0.00719,13.2,18.3,4.46,3.05,5.18,32,46,43,13,"5",NA,NA,80
"33","Cam Akers","RB","LAR",14.5,2.27,0.138,12.1,17.8,4.45,4.66,6.86,34,26,23,15,"5",NA,NA,88
"34","Garrett Wilson","WR","NYJ",16.7,2.72,0.766,14.3,20.1,4.45,4.16,6.96,33,33,22,14,"5",NA,NA,91
"35","Brian Robinson","RB","WAS",14.3,1.53,0.203,11.9,15.8,4.31,4.43,4.88,35,30,49,16,"5",NA,NA,69
"36","Justin Fields","QB","CHI",21.4,1.68,1.03,19.5,23.6,4.23,4.1,4.99,36,35,46,3,"3",NA,NA,76
"37","T.J. Hockenson","TE","MIN",13.6,3.2,1.77,9.9,16.9,4.13,1.72,6.08,37,63,33,4,"2",NA,NA,96
"38","Nick Chubb","RB","CLE",14.1,1.83,0.361,12,16.1,4.11,4.53,5.11,38,29,44,17,"5",NA,NA,80
"39","Najee Harris","RB","PIT",13.8,1.47,0.0331,12.3,16,3.75,4.84,5.07,39,25,45,18,"5",NA,NA,65
"40","Aaron Jones","RB","GB",13.7,2.5,0.0873,9.96,15.9,3.71,2.48,4.97,40,52,48,19,"5",NA,NA,90
"41","Terry McLaurin","WR","WAS",15.9,2.71,0.542,12.9,19.4,3.69,2.78,6.19,41,49,32,15,"6",NA,NA,90
"42","Tyler Allgeier","RB","ATL",13.7,2.19,0.152,11.6,16.9,3.63,4.14,5.94,42,34,35,20,"5",NA,NA,87
"43","Miles Sanders","RB","PHI",13.5,0.754,0.203,12.7,14.6,3.48,5.25,3.64,43,22,60,21,"6",NA,NA,24
"44","Zonovan Knight","RB","NYJ",13.3,2.16,0.203,11.4,16.3,3.27,3.9,5.33,44,39,40,22,"6",NA,NA,86
