"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Austin Ekeler","RB","LAC",21.8,1.6,0.831,19.3,23.3,13.6,14.1,12.4,1,2,1,1,"1",NA,NA,71
"2","Christian McCaffrey","RB","SF",20.9,1.02,0.633,19.9,22.4,12.7,14.7,11.5,2,1,2,2,"1",NA,NA,43
"3","Saquon Barkley","RB","NYG",20.3,1.02,1.83,18.5,21.2,12.1,13.2,10.3,3,3,6,3,"2",NA,NA,44
"4","Stefon Diggs","WR","BUF",21.3,1.44,0.22,19.9,23.5,11.4,11.8,11.5,4,4,3,1,"1",NA,NA,46
"5","Travis Kelce","TE","KC",19.2,1.01,6.62,17.8,20.3,11.3,11.2,10.6,5,5,5,1,"1",NA,NA,64
"6","Justin Jefferson","WR","MIN",21.1,1.77,0.871,19.1,23.2,11.1,11,11.2,6,7,4,2,"1",NA,NA,62
"7","Joe Mixon","RB","CIN",18.5,1.28,0.223,16.3,19.8,10.3,11.1,8.9,7,6,12,4,"2",NA,NA,56
"8","Davante Adams","WR","LVR",20.2,1.36,1.13,18.4,21.8,10.3,10.3,9.86,8,11,7,3,"2",NA,NA,41
"9","Derrick Henry","RB","TEN",18.2,1.48,0.482,16.1,20.1,10,10.9,9.19,9,9,11,5,"2",NA,NA,65
"10","Alvin Kamara","RB","NO",17.8,1.08,0.0849,16.2,19,9.56,10.9,8.17,10,8,15,6,"2",NA,NA,49
"11","Josh Jacobs","RB","LVR",17.7,1.61,0.768,15.5,20.1,9.47,10.2,9.27,11,12,9,7,"3",NA,NA,72
"12","A.J. Brown","WR","PHI",19.1,2.04,0.105,17,21.7,9.13,8.89,9.7,12,18,8,4,"2",NA,NA,72
"13","DeAndre Hopkins","WR","ARI",19,1.76,0.112,16.4,20.6,9.02,8.34,8.68,13,21,13,5,"2",NA,NA,62
"14","CeeDee Lamb","WR","DAL",18.8,1.51,1.84,17.2,20.4,8.91,9.14,8.47,14,17,14,6,"3",NA,NA,51
"15","Josh Allen","QB","BUF",25,1.38,0.993,23.1,26.5,8.71,9.17,7.86,15,16,19,1,"1",NA,NA,73
"16","Jonathan Taylor","RB","IND",16.9,1.03,0.0248,15.2,17.8,8.71,10,6.92,16,13,28,8,"3",NA,NA,45
"17","Dalvin Cook","RB","MIN",16.9,1.05,0.393,15.6,18.5,8.68,10.4,7.65,17,10,21,9,"3",NA,NA,47
"18","Dameon Pierce","RB","HOU",16.5,2.07,0.263,14.9,20.1,8.29,9.63,9.21,18,14,10,10,"4",NA,NA,86
"19","Rhamondre Stevenson","RB","NE",16.2,1.42,0.322,14.6,18.3,8.03,9.38,7.45,19,15,25,11,"4",NA,NA,62
"20","Patrick Mahomes","QB","KC",24,1.45,1.2,22.7,26.3,7.72,8.8,7.71,20,19,20,2,"2",NA,NA,76
"21","Aaron Jones","RB","GB",15.9,1.96,0.021,13.5,19,7.7,8.24,8.09,21,22,16,12,"4",NA,NA,84
"22","Nick Chubb","RB","CLE",15.9,1.51,1.58,14,18,7.68,8.72,7.17,22,20,26,13,"5",NA,NA,66
"23","Tee Higgins","WR","CIN",17,2.42,0.693,14.5,19.6,7.07,6.38,7.59,23,25,22,7,"4",NA,NA,85
"24","Lamar Jackson","QB","BAL",22.8,1.09,0.719,21.8,24.4,6.52,7.87,5.85,24,23,37,3,"2",NA,NA,49
