"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"184","Chase Edmonds","RB","MIA",6.32,0.879,0.882,4.86,7.34,-2.07,-0.848,-3.69,178,139,205,44,"13",NA,NA,35
"185","Broncos","DST","DEN",4.32,0.498,0.0442,3.64,4.9,-2.09,-1.91,-2.37,180,178,175,24,"19",NA,NA,41
"186","Mike Gesicki","TE","MIA",5.58,1.15,0.0658,4.91,7.76,-2.11,-1.42,-1.73,181,157,154,26,"10",NA,NA,70
"187","Falcons","DST","ATL",4.28,0.282,0.0496,4,4.67,-2.13,-1.55,-2.6,182,161,182,25,"20",NA,NA,11
"188","Eddy Pineiro","K","CAR",6.68,1.27,0.17,5.15,8.32,-2.17,-2.38,-1.83,183,197,158,27,"3",NA,NA,54
"189","Mo Alie-Cox","TE","IND",5.52,0.748,0.0131,4.63,6.52,-2.18,-1.69,-2.97,184,167,190,27,"10",NA,NA,43
"190","Steelers","DST","PIT",4.23,0.519,0.131,3.72,4.79,-2.18,-1.82,-2.48,185,174,179,26,"21",NA,NA,44
"191","John Bates","TE","WAS",5.5,0.755,0.538,4.63,6.63,-2.19,-1.69,-2.85,186,168,187,28,"10",NA,NA,44
"192","Seahawks","DST","SEA",4.1,0.531,0.0389,3.34,4.68,-2.31,-2.2,-2.59,187,185,181,27,"22",NA,NA,48
"193","Chris Boswell","K","PIT",6.51,1.45,0.2,5.31,8.7,-2.34,-2.23,-1.45,188,186,146,28,"3",NA,NA,82
"194","Jets","DST","NYJ",4.06,0.343,0,3.71,4.48,-2.35,-1.84,-2.79,189,175,185,28,"22",NA,NA,19
"195","Zach Wilson","QB","NYJ",14.2,1.04,0.143,13.4,16.1,-2.36,-1.54,-3.41,190,160,200,21,"8",NA,NA,45
"196","Randall Cobb","WR","GB",9.34,1.67,0.237,7.27,11.5,-2.36,-2.05,-1.9,191,180,160,47,"10",NA,NA,67
"197","Kenny Pickett","QB","PIT",14,1.83,0.3,11.8,16.8,-2.5,-3.1,-2.62,192,218,183,22,"8",NA,NA,76
"198","Joey Slye","K","WAS",6.31,1.32,4.01,5.05,8.25,-2.54,-2.48,-1.9,193,199,161,29,"4",NA,NA,64
"199","Corey Davis","WR","NYJ",9.1,1.81,0.0449,7.02,11.3,-2.6,-2.31,-2.12,194,190,169,48,"10",NA,NA,73
"200","Russell Gage","WR","TB",9.06,2.57,0.17,6.69,13.6,-2.64,-2.63,0.18,195,204,99,49,"10",NA,NA,90
