"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",23.3,2.09,2.12,21,27,15.7,15.4,16,1,1,1,1,"1",NA,NA,82
"2","Austin Ekeler","RB","LAC",21.2,2.37,0.683,17.7,24.5,13.5,12.1,13.5,2,3,2,2,"1",NA,NA,91
"3","Saquon Barkley","RB","NYG",20.5,1.08,1.39,18.7,21.4,12.8,13.2,10.4,3,2,8,3,"2",NA,NA,44
"4","Alvin Kamara","RB","NO",19.1,1.21,0.159,17.7,20.9,11.5,12.1,9.98,4,4,9,4,"2",NA,NA,57
"5","Cooper Kupp","WR","LAR",22,1.69,0.335,19.5,23.7,11.4,10.4,11.3,5,9,4,1,"1",NA,NA,72
"6","Derrick Henry","RB","TEN",18.9,2.13,0.922,16.2,21.9,11.3,10.7,11,6,6,5,5,"3",NA,NA,84
"7","Travis Kelce","TE","KC",19.2,1.28,5.01,17.4,20.4,11.3,10.3,11.4,7,10,3,1,"1",NA,NA,83
"8","Tyreek Hill","WR","MIA",21.7,1.75,0.617,19.1,23.3,11.1,9.94,10.9,8,11,7,2,"1",NA,NA,74
"9","Travis Etienne","RB","JAC",18,1.57,0.565,16.2,20.4,10.4,10.6,9.46,10,7,13,6,"4",NA,NA,66
"10","Stefon Diggs","WR","BUF",21.1,1.48,0.289,19.7,23.3,10.4,10.5,10.9,9,8,6,3,"1",NA,NA,64
"11","Davante Adams","WR","LVR",20.8,1.22,0.34,18.8,22.1,10.1,9.7,9.7,11,12,12,4,"2",NA,NA,52
"12","Josh Jacobs","RB","LVR",17.5,1.16,0.972,16.4,19.2,9.81,10.8,8.27,12,5,19,7,"5",NA,NA,52
"13","Justin Jefferson","WR","MIN",20.5,1.82,1.19,17.5,22.1,9.81,8.31,9.74,13,15,10,5,"3",NA,NA,77
"14","Nick Chubb","RB","CLE",16.5,1.96,0.0127,14,19.6,8.84,8.4,8.65,14,14,17,8,"5",NA,NA,79
"15","Dameon Pierce","RB","HOU",16.5,2.33,0.383,13.4,19.7,8.82,7.8,8.69,15,19,16,9,"5",NA,NA,90
"16","A.J. Brown","WR","PHI",19.3,1.81,1.33,17.2,22.1,8.62,8.07,9.7,16,17,11,6,"4",NA,NA,77
"17","Dalvin Cook","RB","MIN",16.1,1.57,0.0633,14.1,18.2,8.44,8.58,7.23,17,13,29,10,"5",NA,NA,65
"18","Tony Pollard","RB","DAL",16,1.78,0.24,13.9,18.5,8.38,8.31,7.58,18,16,23,11,"5",NA,NA,73
"19","Kenneth Walker III","RB","SEA",15.8,1.47,0.913,13.4,17.2,8.14,7.83,6.23,19,18,40,12,"6",NA,NA,62
"20","Josh Allen","QB","BUF",24.2,1.22,0.335,22.7,25.7,7.43,7.75,7.36,20,20,26,1,"1",NA,NA,56
"21","DeAndre Hopkins","WR","ARI",17.9,2.89,0.477,13.9,21,7.29,4.78,8.57,21,37,18,7,"4",NA,NA,98
"22","Jonathan Taylor","RB","IND",14.9,2.66,0.288,12,18.9,7.22,6.42,7.94,22,25,20,13,"6",NA,NA,96
"23","Patrick Mahomes","QB","KC",23.9,1.4,0.598,22,25.7,7.09,7.1,7.35,23,21,27,2,"1",NA,NA,69
"24","Leonard Fournette","RB","TB",14.6,2.39,0.258,11.6,17,6.94,6.01,6.06,24,26,43,14,"6",NA,NA,92
"25","Jaylen Waddle","WR","MIA",17.5,1.49,0.0701,14.9,18.9,6.81,5.72,6.52,25,28,38,8,"4",NA,NA,65
"26","Amon-Ra St. Brown","WR","DET",17.4,2.36,0.699,14,19.5,6.74,4.82,7.1,26,34,30,9,"5",NA,NA,88
"27","Aaron Jones","RB","GB",14.3,1.74,1.19,12.6,17.4,6.68,7,6.44,27,22,39,15,"7",NA,NA,72
"28","Jalen Hurts","QB","PHI",23.3,1.48,2.74,21.7,25,6.5,6.74,6.7,28,23,34,3,"2",NA,NA,71
"29","Dallas Goedert","TE","PHI",14.2,2.15,1.4,12.5,18,6.28,5.32,8.92,29,29,15,2,"2",NA,NA,93
"30","Chris Olave","WR","NO",16.7,2.08,0.0134,14,19,6.04,4.81,6.6,30,35,35,10,"5",NA,NA,83
"31","Deebo Samuel","WR","SF",16.7,2.51,0.00483,13.9,20.2,6.03,4.73,7.78,31,38,22,11,"5",NA,NA,94
"32","CeeDee Lamb","WR","DAL",16.7,1.95,0.113,14.3,18.9,6.02,5.14,6.55,32,31,37,12,"5",NA,NA,81
"33","Amari Cooper","WR","CLE",16.6,2.21,0.0823,14.3,19.7,5.91,5.11,7.28,33,32,28,13,"5",NA,NA,86
"34","JuJu Smith-Schuster","WR","KC",16.5,2.36,0.0404,13.9,19.5,5.83,4.81,7.09,34,36,31,14,"5",NA,NA,89
"35","Mike Evans","WR","TB",16.4,2.52,0.842,13.8,19.8,5.79,4.63,7.44,35,40,25,15,"6",NA,NA,95
"36","DOnta Foreman","RB","CAR",13.1,2.3,0.128,10.8,16.6,5.49,5.26,5.63,36,30,47,16,"7",NA,NA,88
"37","David Montgomery","RB","CHI",13,1.39,0.0611,11.4,15.2,5.36,5.89,4.2,37,27,53,17,"7",NA,NA,60
"38","Miles Sanders","RB","PHI",13,1.44,0.564,12,15.6,5.3,6.43,4.59,38,24,50,18,"7",NA,NA,61
"39","Christian Kirk","WR","JAC",15.6,2.39,0.0749,13.2,18.9,4.94,4.01,6.55,39,45,36,16,"6",NA,NA,90
"40","George Kittle","TE","SF",12.8,3.07,0.265,10.3,18,4.88,3.16,8.94,40,50,14,3,"3",NA,NA,98
"41","DK Metcalf","WR","SEA",15.5,2.65,0.00747,12.9,19.1,4.87,3.74,6.71,41,47,33,17,"6",NA,NA,95
"42","Tyler Lockett","WR","SEA",15.5,2.14,0.0793,13.4,18.4,4.86,4.27,5.98,42,43,44,18,"6",NA,NA,85
"43","D.J. Moore","WR","CAR",15.4,2.1,0.275,13.2,18.1,4.78,4.05,5.74,43,44,45,19,"6",NA,NA,83
"44","Cordarrelle Patterson","RB","ATL",12.4,1.73,0.535,10.2,14.4,4.74,4.63,3.4,44,39,57,19,"8",NA,NA,70
"45","T.J. Hockenson","TE","MIN",12.6,2.48,0.901,9.81,16.6,4.61,2.67,7.53,45,55,24,4,"4",NA,NA,95
"46","Allen Lazard","WR","GB",15.2,2.4,1.87,12.4,18.6,4.51,3.25,6.17,46,49,41,20,"7",NA,NA,91
"47","Raheem Mostert","RB","MIA",11.9,2.79,0.311,8.06,15.6,4.2,2.49,4.59,47,57,51,20,"8",NA,NA,98
"48","Najee Harris","RB","PIT",11.5,1.13,0.177,10.2,13.2,3.89,4.6,2.24,48,41,65,21,"8",NA,NA,48
"49","Justin Fields","QB","CHI",20.6,1.6,1.08,19.3,22.9,3.76,4.32,4.64,49,42,49,4,"3",NA,NA,75
"50","James Conner","RB","ARI",11.4,1.91,0.119,9.47,13.7,3.71,3.91,2.78,50,46,61,22,"8",NA,NA,77
"51","Gerald Everett","TE","LAC",11.7,2.09,0.22,9.72,15.2,3.71,2.58,6.11,51,56,42,5,"4",NA,NA,91
"52","Jamaal Williams","RB","DET",11.2,2.53,0.131,7.85,14.7,3.6,2.29,3.72,52,59,55,23,"8",NA,NA,93
"53","Pat Freiermuth","TE","PIT",11.4,3.23,0.702,8.55,16.9,3.49,1.41,7.82,53,71,21,6,"5",NA,NA,99
"54","Antonio Gibson","RB","WAS",11.1,0.372,0.289,10.5,11.4,3.47,4.92,0.483,54,33,91,24,"9",NA,NA,14
"55","D'Andre Swift","RB","DET",10.8,2.25,0.0938,8.44,14.2,3.18,2.87,3.25,55,52,58,25,"9",NA,NA,86
"56","Devin Singletary","RB","BUF",10.7,1.17,0.461,9.3,12.6,3.08,3.73,1.6,56,48,76,26,"9",NA,NA,53
