"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Jahmyr Gibbs","RB","DET",21.3,0.812,1.37,20.4,22.7,12.4,13.4,12.2,1,1,1,1,"1",NA,NA,43
"2","Saquon Barkley","RB","PHI",20,1.14,0.956,18.8,21.5,11,11.8,11,2,2,4,2,"2",NA,NA,64
"3","Ja'Marr Chase","WR","CIN",21.9,1.44,1.95,20.2,24.2,10.6,9.59,11.6,3,7,2,1,"1",NA,NA,80
"4","Devon Achane","RB","MIA",19,1.34,0.439,18,21.4,10.1,11,10.9,4,3,6,3,"2",NA,NA,78
"5","Josh Jacobs","RB","GB",18.6,1.23,0.336,16.9,19.9,9.62,9.86,9.35,5,6,10,4,"2",NA,NA,73
"6","Bijan Robinson","RB","ATL",18.2,0.694,0.0963,17.6,19.3,9.28,10.6,8.74,6,4,11,5,"3",NA,NA,33
"7","Chase Brown","RB","CIN",18.1,0.618,0.412,17.4,19,9.19,10.3,8.5,7,5,13,6,"3",NA,NA,23
"8","Kyren Williams","RB","LAR",17.7,0.98,0.309,16.3,19.1,8.78,9.29,8.57,8,8,12,7,"3",NA,NA,56
"9","Justin Jefferson","WR","MIN",20,2.01,0.239,17.6,22.6,8.69,6.98,9.94,9,15,7,2,"1",NA,NA,94
"10","Jonathan Taylor","RB","IND",17.4,2.28,0.192,15.6,21.5,8.47,8.56,11,10,11,5,8,"4",NA,NA,96
"11","Puka Nacua","WR","LAR",19.7,2.89,1.3,16.2,24,8.45,5.62,11.4,11,21,3,3,"2",NA,NA,99
"12","Zach Charbonnet","RB","SEA",17.2,1.89,0.176,14.8,20,8.28,7.81,9.51,12,13,9,9,"4",NA,NA,94
"13","Josh Allen","QB","BUF",24.7,1.3,2.36,23.3,26.8,8.23,8.26,8.5,13,12,14,1,"1",NA,NA,63
