"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Breece Hall","RB","NYJ",18.6,1.69,0.338,15.7,20.5,9.61,8.47,9.88,1,7,2,1,"1",NA,NA,86
"2","Ja'Marr Chase","WR","CIN",20.2,1.37,0.994,17.8,21.7,9.59,8.68,8.98,2,4,4,1,"1",NA,NA,72
"3","Joe Mixon","RB","HOU",18.3,0.694,0.42,17.1,19.3,9.28,9.92,8.6,3,1,5,2,"1",NA,NA,25
"4","Saquon Barkley","RB","PHI",17.8,1.36,0.0618,16.2,19.7,8.86,9.04,9.04,4,3,3,3,"1",NA,NA,68
"5","Bijan Robinson","RB","ATL",17.8,2.13,0.149,15.5,21.8,8.79,8.35,11.1,5,8,1,4,"1",NA,NA,95
"6","Derrick Henry","RB","BAL",17.6,0.657,0.692,16.5,18.3,8.65,9.28,7.69,6,2,13,5,"2",NA,NA,22
"7","Justin Jefferson","WR","MIN",19.2,2.16,0.36,15.4,21.1,8.6,6.25,8.38,7,16,7,2,"1",NA,NA,99
"8","Amon-Ra St. Brown","WR","DET",18.8,1.45,0.524,16.7,20.5,8.24,7.63,7.81,8,9,12,3,"1",NA,NA,76
"9","Kenneth Walker III","RB","SEA",16.9,1.05,0.0547,15.8,18.9,7.95,8.63,8.27,9,5,9,6,"2",NA,NA,55
"10","Jahmyr Gibbs","RB","DET",16.9,0.966,0.368,15.8,18.3,7.9,8.61,7.65,10,6,14,7,"2",NA,NA,49
"11","Tyreek Hill","WR","MIA",18.3,1.97,0.802,15.5,21.1,7.71,6.39,8.34,11,15,8,4,"2",NA,NA,94
"12","Kyren Williams","RB","LAR",16.5,1.06,0.78,14.6,17.6,7.53,7.45,6.97,12,10,20,8,"3",NA,NA,55
"13","CeeDee Lamb","WR","DAL",17.5,1.3,0.533,15.6,19.1,6.91,6.47,6.35,13,13,22,5,"3",NA,NA,64
"14","Devon Achane","RB","MIA",15.7,1.57,0.0572,13.8,18.5,6.75,6.65,7.88,14,12,11,9,"3",NA,NA,80
"15","Alvin Kamara","RB","NO",15.7,1.17,0.4,13.9,16.9,6.69,6.71,6.23,15,11,24,10,"4",NA,NA,62
"16","Drake London","WR","ATL",17,1.81,0.681,15.1,19.5,6.38,5.99,6.81,16,18,21,6,"3",NA,NA,88
"17","Aaron Jones","RB","MIN",15.3,0.908,0.265,13.6,16.1,6.29,6.46,5.49,17,14,31,11,"4",NA,NA,45
"18","Jonathan Taylor","RB","IND",15,1.81,0.0368,12.2,17.9,6.03,4.99,7.23,18,25,17,12,"4",NA,NA,88
"19","D'Andre Swift","RB","CHI",15,2.03,0.0267,12.4,18.7,5.99,5.26,8,19,23,10,13,"4",NA,NA,93
"20","J.K. Dobbins","RB","LAC",15,1.95,0.152,13.1,18.2,5.96,5.89,7.55,20,19,15,14,"4",NA,NA,91
"21","Jordan Mason","RB","SF",14.8,1.62,0.00139,12.7,17.7,5.81,5.47,7.05,21,22,18,15,"4",NA,NA,82
"22","Kareem Hunt","RB","KC",14.8,1.42,0.788,13.1,16.7,5.81,5.87,6.09,22,20,28,16,"5",NA,NA,71
"23","A.J. Brown","WR","PHI",16.3,1.78,0.287,14,19.1,5.7,4.94,6.35,23,26,23,7,"4",NA,NA,87
"24","Davante Adams","WR","NYJ",16,1.98,0.258,13.3,18.9,5.41,4.19,6.22,24,37,25,8,"4",NA,NA,94
"25","Malik Nabers","WR","NYG",15.8,0.813,0.204,14.9,17,5.15,5.77,4.24,25,21,35,9,"4",NA,NA,25
"26","Josh Allen","QB","BUF",21.9,2.95,0.0977,19.5,27.5,5.04,4.67,8.45,26,32,6,1,"1",NA,NA,92
"27","Tony Pollard","RB","TEN",14,1.65,0.173,12,16.3,5.02,4.77,5.7,27,30,30,17,"5",NA,NA,85
"28","Stefon Diggs","WR","HOU",15.6,1.82,0.492,12.9,18.6,4.95,3.85,5.92,28,40,29,10,"4",NA,NA,89
"29","Lamar Jackson","QB","BAL",21.8,0.774,2.04,21,22.9,4.94,6.23,3.81,29,17,41,2,"2",NA,NA,36
"30","Josh Jacobs","RB","GB",13.8,0.991,0.188,12,14.8,4.85,4.8,4.11,30,29,36,18,"5",NA,NA,51
"31","George Kittle","TE","SF",14.2,1.84,1.46,12,17.3,4.76,3.99,7.05,31,38,19,1,"1",NA,NA,95
