"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Bijan Robinson","RB","ATL",20,1.53,0.0952,18.5,22.5,13.1,12.4,13.5,1,1,1,1,"1",NA,NA,82
"2","Alvin Kamara","RB","NO",19.9,1.56,0.694,17.8,21.6,13,11.7,12.6,2,2,2,2,"1",NA,NA,84
"3","Christian McCaffrey","RB","SF",19.2,1.26,0.0906,17.6,21,12.3,11.5,11.9,3,4,3,3,"1",NA,NA,72
"4","Saquon Barkley","RB","PHI",19.1,1.33,0.859,17.7,20.8,12.2,11.6,11.7,4,3,5,4,"2",NA,NA,78
"5","Derrick Henry","RB","BAL",18.2,0.622,0.011,17.5,19.1,11.3,11.4,10.1,5,5,11,5,"2",NA,NA,26
"6","Joe Mixon","RB","HOU",18.2,0.922,0.154,17.1,19.6,11.3,11.1,10.6,6,6,9,6,"2",NA,NA,48
"7","Kyren Williams","RB","LAR",18.1,1.01,0.391,16.5,19.6,11.2,10.4,10.6,7,10,10,7,"3",NA,NA,58
"8","Ja'Marr Chase","WR","CIN",21.1,1.85,0.288,18.7,24.1,11.1,10.7,11.8,8,8,4,1,"1",NA,NA,89
"9","Jonathan Taylor","RB","IND",17.7,1.2,0.0355,16.6,19.8,10.8,10.6,10.8,10,9,8,8,"3",NA,NA,66
"10","Justin Jefferson","WR","MIN",20.8,1.53,2.71,18.9,23.2,10.8,10.9,10.9,9,7,7,2,"2",NA,NA,73
"11","Devon Achane","RB","MIA",17.6,1.76,0.272,14.7,20.2,10.7,8.71,11.2,11,12,6,9,"3",NA,NA,92
"12","Breece Hall","RB","NYJ",17.4,1.6,1.07,14.4,19.1,10.5,8.38,10.1,12,13,12,10,"4",NA,NA,86
"13","Jahmyr Gibbs","RB","DET",16.3,1.28,0.249,15.2,18.1,9.4,9.21,9.04,13,11,16,11,"5",NA,NA,73
"14","D'Andre Swift","RB","CHI",16,1.62,0.318,14,18.8,9.15,7.92,9.82,14,16,13,12,"5",NA,NA,87
"15","Aaron Jones","RB","MIN",15.7,1.25,0.125,13.9,17.8,8.83,7.85,8.79,15,17,18,13,"5",NA,NA,71
"16","J.K. Dobbins","RB","LAC",15.6,1.78,0.217,14,18.4,8.71,7.94,9.34,16,15,14,14,"5",NA,NA,94
"17","James Cook","RB","BUF",15.4,1.45,0.167,13.6,17.7,8.49,7.51,8.7,17,20,19,15,"5",NA,NA,80
"18","Chase Brown","RB","CIN",15.2,1.69,0.435,12.2,17.4,8.32,6.19,8.41,18,30,21,16,"6",NA,NA,89
"19","Malik Nabers","WR","NYG",18.1,1.93,0.734,15.6,20.9,8.11,7.65,8.61,19,18,20,3,"2",NA,NA,90
"20","James Conner","RB","ARI",14.8,1.72,0.0298,13.3,17.8,7.89,7.22,8.82,20,22,17,17,"6",NA,NA,91
"21","Tyrone Tracy","RB","NYG",14.7,1.57,0.407,12.6,17,7.86,6.58,7.94,21,24,22,18,"6",NA,NA,85
"22","Kareem Hunt","RB","KC",14.3,0.944,0.745,12.6,15.3,7.45,6.54,6.26,22,25,33,19,"7",NA,NA,52
"23","Garrett Wilson","WR","NYJ",17.4,1.95,0.0654,15.4,19.6,7.37,7.47,7.3,23,21,25,4,"3",NA,NA,90
"24","Amon-Ra St. Brown","WR","DET",17.3,1.95,0.557,14.2,19.6,7.31,6.21,7.26,24,28,26,5,"3",NA,NA,91
"25","Lamar Jackson","QB","BAL",23.2,1.33,1.19,22,25.6,6.96,7.62,7.86,25,19,23,1,"1",NA,NA,67
"26","Davante Adams","WR","NYJ",16.8,1.76,0.127,14.9,19.2,6.75,6.9,6.9,26,23,29,6,"3",NA,NA,84
"27","David Montgomery","RB","DET",13.6,1.32,0.0592,12.2,16,6.71,6.19,6.93,27,29,28,20,"7",NA,NA,75
"28","Chuba Hubbard","RB","CAR",13.5,1.21,0.457,12.2,15.6,6.65,6.11,6.61,28,31,31,21,"8",NA,NA,69
"29","CeeDee Lamb","WR","DAL",16.6,0.595,0.158,15.9,17.6,6.62,7.98,5.28,29,14,39,7,"3",NA,NA,14
"30","Tyreek Hill","WR","MIA",16.5,1.5,0.216,13.5,17.5,6.46,5.57,5.23,30,34,40,8,"3",NA,NA,72
"31","Drake London","WR","ATL",16.3,2.26,0.52,12.9,19.1,6.25,4.91,6.77,31,40,30,9,"4",NA,NA,98
"32","Najee Harris","RB","PIT",13.1,1.71,0.166,11.6,16.5,6.19,5.6,7.43,32,33,24,22,"8",NA,NA,90
"33","Tony Pollard","RB","TEN",12.9,1.15,0.074,11.6,14.6,6.03,5.52,5.62,33,35,36,23,"8",NA,NA,62
"34","George Kittle","TE","SF",14.9,1.76,0.536,11.4,16.3,5.97,3.5,5.39,34,49,38,1,"1",NA,NA,92
"35","Austin Ekeler","RB","WAS",12.8,1.86,0.104,11.1,16.2,5.95,5.04,7.17,35,39,27,24,"8",NA,NA,97
"36","Rhamondre Stevenson","RB","NE",12.7,0.825,1.34,11.8,14.2,5.85,5.73,5.14,36,32,41,25,"9",NA,NA,36
"37","Jalen Hurts","QB","PHI",22,1.34,0.693,20.7,24.3,5.77,6.26,6.49,37,27,32,2,"1",NA,NA,69
"38","Cooper Kupp","WR","LAR",15.7,1.31,0.0598,13.3,17.3,5.73,5.34,5.02,38,36,42,10,"4",NA,NA,60
"39","Zay Flowers","WR","BAL",15.7,1.3,0.166,14.2,17.9,5.67,6.29,5.54,39,26,37,11,"4",NA,NA,58
"40","A.J. Brown","WR","PHI",15.5,2,0.289,12.8,18.5,5.5,4.89,6.17,40,41,34,12,"4",NA,NA,93
"41","Travis Kelce","TE","KC",14.3,1.49,2.15,11.5,15.7,5.43,3.59,4.82,41,47,44,2,"2",NA,NA,89
"42","Puka Nacua","WR","LAR",15.2,1.59,0.293,13.1,16.7,5.21,5.12,4.35,42,38,48,13,"5",NA,NA,78
"43","Josh Allen","QB","BUF",21.3,1.01,0.183,19.7,22.5,5.08,5.32,4.7,43,37,46,3,"1",NA,NA,48
"44","Deebo Samuel","WR","SF",14.9,1.61,0.463,12.5,17.2,4.92,4.59,4.86,44,43,43,14,"5",NA,NA,79
"45","Jayden Daniels","QB","WAS",21.1,3.29,1.29,17.5,27.1,4.89,3.12,9.28,45,52,15,4,"2",NA,NA,93
"46","Rico Dowdle","RB","DAL",11.4,1.04,0.127,9.59,12.5,4.51,3.55,3.49,46,48,53,26,"9",NA,NA,60
"47","George Pickens","WR","PIT",14.5,2.12,0.464,12,18.4,4.46,4.08,6.08,47,46,35,15,"5",NA,NA,96
"48","Rachaad White","RB","TB",11.3,1.5,0.884,9.22,13.7,4.38,3.18,4.68,48,51,47,27,"10",NA,NA,81
"49","Terry McLaurin","WR","WAS",14,1.22,0.27,12.2,15.9,3.99,4.22,3.57,49,45,52,16,"6",NA,NA,54
"50","Josh Downs","WR","IND",13.7,0.773,0.336,12.7,14.5,3.72,4.76,2.22,50,42,59,17,"6",NA,NA,22
