"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",19.5,0.95,0.418,18.1,20.6,11.2,11.5,10.9,1,1,5,1,"1",NA,NA,47
"2","Kyren Williams","RB","LAR",19,1.35,0.254,17.7,21.5,10.8,11,11.8,2,2,2,2,"1",NA,NA,73
"3","CeeDee Lamb","WR","DAL",21,2.05,0.619,18.4,23.8,10.6,9.29,11.7,3,8,3,1,"1",NA,NA,93
"4","Bijan Robinson","RB","ATL",18.8,1.47,0.436,17.6,21.7,10.5,10.9,12,4,3,1,3,"1",NA,NA,80
"5","Saquon Barkley","RB","PHI",18.4,1.45,0.591,16.9,20.6,10.1,10.2,10.9,5,4,4,4,"2",NA,NA,78
"6","Justin Jefferson","WR","MIN",20.3,1.68,0.432,18.1,22.6,9.94,8.94,10.5,6,9,7,2,"1",NA,NA,86
"7","Ja'Marr Chase","WR","CIN",19.9,2.15,2.38,16.7,22.9,9.51,7.52,10.8,7,14,6,3,"2",NA,NA,95
"8","Joe Mixon","RB","HOU",17.8,0.856,0.31,16.5,18.7,9.5,9.83,9.06,8,6,12,5,"2",NA,NA,40
"9","Derrick Henry","RB","BAL",17.5,0.633,0.323,16.5,18.3,9.19,9.85,8.66,9,5,16,6,"2",NA,NA,26
"10","Breece Hall","RB","NYJ",17.1,1.64,0.138,14.1,18.8,8.86,7.42,9.14,10,16,11,7,"3",NA,NA,88
"11","Aaron Jones","RB","MIN",17,1.7,0.14,14.8,19.3,8.73,8.14,9.65,11,11,8,8,"3",NA,NA,92
"12","Kenneth Walker III","RB","SEA",16.9,1.05,0.298,16.1,18.9,8.59,9.42,9.18,12,7,10,9,"3",NA,NA,55
"13","Jahmyr Gibbs","RB","DET",16.6,1.33,0.304,15.2,18.5,8.29,8.53,8.83,13,10,15,10,"3",NA,NA,71
"14","Jonathan Taylor","RB","IND",16.3,1.4,0.0694,14.7,18.9,7.98,8,9.2,14,12,9,11,"3",NA,NA,77
"15","Devon Achane","RB","MIA",16.2,1.32,0.625,14.1,17.8,7.92,7.43,8.17,15,15,20,12,"4",NA,NA,70
"16","D'Andre Swift","RB","CHI",15.6,1.87,0.171,12.7,18.6,7.29,6.08,8.96,16,20,14,13,"4",NA,NA,96
"17","A.J. Brown","WR","PHI",17.5,2.18,0.000885,14.7,20.3,7.13,5.57,8.24,17,26,18,4,"2",NA,NA,96
"18","Amon-Ra St. Brown","WR","DET",17.5,1.92,0.503,15,20.1,7.13,5.81,8.01,18,23,21,5,"2",NA,NA,91
"19","James Cook","RB","BUF",15.4,1.19,0.395,14.3,17.5,7.12,7.68,7.79,19,13,22,14,"5",NA,NA,65
"20","James Conner","RB","ARI",15,1.81,0.118,13.2,18.1,6.72,6.56,8.47,20,17,17,15,"5",NA,NA,95
"21","Drake London","WR","ATL",17,2.18,0.498,13.7,19.8,6.63,4.58,7.7,21,36,24,6,"3",NA,NA,96
"22","Kareem Hunt","RB","KC",14.9,1.79,0.0995,12.4,17.2,6.61,5.75,7.55,22,25,27,16,"5",NA,NA,94
"23","Chase Brown","RB","CIN",14.8,1.94,0.16,11.8,17.9,6.51,5.14,8.21,23,32,19,17,"5",NA,NA,97
"24","Tony Pollard","RB","TEN",14.6,1.56,0.399,12.8,17.4,6.35,6.11,7.73,24,19,23,18,"5",NA,NA,85
"25","Tyreek Hill","WR","MIA",16.5,1.31,0.275,14.3,17.7,6.13,5.19,5.58,25,31,31,7,"3",NA,NA,63
"26","Austin Ekeler","RB","WAS",14.2,2.67,0.0893,10.6,18.7,5.95,3.96,9.03,26,43,13,19,"6",NA,NA,99
"27","Jalen Hurts","QB","PHI",22.4,1.63,0.215,20.8,24.9,5.93,6.33,6.47,27,18,28,1,"1",NA,NA,83
"28","J.K. Dobbins","RB","LAC",14.1,1.18,0.0831,12.7,15.7,5.86,6.07,5.98,28,21,29,20,"6",NA,NA,64
"29","Malik Nabers","WR","NYG",16.3,0.791,0.95,14.9,17.1,5.86,5.77,5.01,29,24,35,8,"4",NA,NA,23
"30","Josh Jacobs","RB","GB",14,1.29,0.222,12,15.2,5.78,5.35,5.57,30,30,32,21,"6",NA,NA,67
"31","Josh Allen","QB","BUF",22.2,2.53,0.338,19,26.1,5.71,4.52,7.66,31,37,25,2,"1",NA,NA,93
"32","Chuba Hubbard","RB","CAR",13.8,0.85,0.562,12.5,14.9,5.55,5.88,5.19,32,22,34,22,"6",NA,NA,39
"33","Lamar Jackson","QB","BAL",21.8,1.21,0.28,19.9,23.2,5.37,5.51,4.77,34,28,36,3,"1",NA,NA,55
"34","Travis Kelce","TE","KC",14.1,1.48,0.825,12.1,16.1,5.37,4.4,5.75,33,38,30,1,"1",NA,NA,93
"35","Jayden Daniels","QB","WAS",21.5,2.91,2.52,17.7,26.1,5.09,3.26,7.61,35,48,26,4,"2",NA,NA,97
"36","David Montgomery","RB","DET",13.3,0.976,0.832,12.1,15,4.99,5.44,5.36,36,29,33,23,"7",NA,NA,50
"37","Puka Nacua","WR","LAR",15.3,0.936,0.376,14.1,16.5,4.91,4.91,4.41,37,33,40,9,"4",NA,NA,34
"38","Brock Bowers","TE","LVR",13.3,0.859,0.908,11.9,14.1,4.55,4.28,3.73,38,40,47,2,"1",NA,NA,41
"39","Cooper Kupp","WR","LAR",14.9,0.901,0.14,13.7,16.2,4.53,4.6,4.08,39,35,42,10,"4",NA,NA,30
"40","Chris Olave","WR","NO",14.8,1.06,0.517,13.5,16.2,4.39,4.32,4.14,40,39,41,11,"5",NA,NA,43
"41","Rhamondre Stevenson","RB","NE",12.4,0.766,0.139,11.4,13.4,4.16,4.73,3.69,41,34,48,24,"7",NA,NA,31
"42","Tyrone Tracy","RB","NYG",12.3,1.55,0.0204,9.94,14.4,4.02,3.28,4.74,42,47,37,25,"7",NA,NA,84
"43","Alexander Mattison","RB","LVR",12.3,1.11,0.0659,10.6,13.5,4,3.97,3.82,43,42,46,26,"8",NA,NA,60
"44","Brian Robinson","RB","WAS",12.2,0,0.592,12.2,12.2,3.93,5.54,2.53,44,27,60,27,"8",NA,NA,1
"45","Terry McLaurin","WR","WAS",14.3,1.2,0.346,12.7,15.9,3.87,3.53,3.82,45,45,45,12,"5",NA,NA,54
"46","Trey McBride","TE","ARI",12.4,1.13,0.346,10.4,13.7,3.64,2.71,3.3,46,51,50,3,"2",NA,NA,68
"47","DeVonta Smith","WR","PHI",13.9,1.66,0.0777,11.7,16.8,3.53,2.52,4.69,47,54,38,13,"5",NA,NA,86
"48","Garrett Wilson","WR","NYJ",13.9,1.66,0.103,11.4,16,3.45,2.25,3.94,48,61,43,14,"5",NA,NA,85
"49","Davante Adams","WR","NYJ",13.8,1.4,0.129,11,15,3.35,1.82,2.95,49,67,54,15,"5",NA,NA,70
"50","Nick Chubb","RB","CLE",11.6,0.868,0.146,10.7,13.2,3.34,4.06,3.53,50,41,49,28,"8",NA,NA,41
"51","Evan Engram","TE","JAC",12,1.37,0.608,10.2,13.7,3.3,2.54,3.28,51,53,51,4,"2",NA,NA,81
"52","D.J. Moore","WR","CHI",13.6,1.39,0.256,11.6,16,3.22,2.44,3.88,52,55,44,16,"6",NA,NA,70
"53","Javonte Williams","RB","DEN",11.5,0.889,0.165,10,12.4,3.2,3.38,2.76,53,46,58,29,"8",NA,NA,43
"54","Rico Dowdle","RB","DAL",11.3,0.939,0.441,9.7,12.6,3.03,3.03,2.92,54,49,55,30,"9",NA,NA,46
"55","Jaxon Smith-Njigba","WR","SEA",13.4,1.1,0.0505,11.5,14.8,2.96,2.33,2.68,55,59,59,17,"6",NA,NA,46
"56","Josh Downs","WR","IND",13.3,1.16,0.242,11.1,14.4,2.91,1.95,2.34,56,65,65,18,"6",NA,NA,51
"57","David Njoku","TE","CLE",11.4,0.939,0.58,9.82,12.3,2.69,2.15,1.96,57,62,68,5,"3",NA,NA,46
"58","Darnell Mooney","WR","ATL",13.1,2.05,0.0345,10.6,16.8,2.67,1.41,4.67,58,74,39,19,"6",NA,NA,94
"59","Nathaniel Dell","WR","HOU",13,1.3,0.0274,10.7,14.6,2.63,1.52,2.52,59,71,61,20,"6",NA,NA,62
"60","Zay Flowers","WR","BAL",13,1.66,0.0234,10,14.9,2.61,0.861,2.77,60,84,57,21,"6",NA,NA,84
"61","Rachaad White","RB","TB",10.9,1.06,1.16,9.03,12.1,2.59,2.37,2.38,61,57,64,31,"10",NA,NA,56
"62","Joe Burrow","QB","CIN",19,0.951,0.867,18,20.6,2.58,3.59,2.15,63,44,67,5,"3",NA,NA,41
"63","Marvin Harrison Jr.","WR","ARI",13,1.24,0.474,11.7,15.3,2.58,2.6,3.26,62,52,52,22,"6",NA,NA,58
"64","Jayden Reed","WR","GB",12.5,0.837,0.113,11.5,13.5,2.11,2.3,1.46,64,60,78,23,"7",NA,NA,28
"65","Kyle Pitts","TE","ATL",10.9,0.984,0.271,9.26,11.9,2.11,1.59,1.55,65,68,73,6,"3",NA,NA,56
