Bye,Team,Abbreviation
Week_6,Detroit,DET
Week_6,Houston,HOU
Week_6,Las Vegas,LVR
Week_6,Tennessee,TEN
Week_7,Buffalo,BUF
Week_7,LA Rams,LAR
Week_7,Minnesota,MIN
Week_7,Philadelphia,PHI
Week_8,Kansas City,KC
Week_8,LA Chargers,LAC
Week_9,Cleveland,CLE
Week_9,Dallas,DAL
Week_9,Denver,DEN
Week_9,NY Giants,NYG
Week_9,Pittsburgh,PIT
Week_9,San Francisco,SF
Week_10,Baltimore,BAL
Week_10,Cincinnati,CIN
Week_10,New England,NE
Week_10,NY Jets,NYJ
Week_11,Jacksonville,JAC
Week_11,Miami,MIA
Week_11,Seattle,SEA
Week_11,Tampa Bay,TB
Week_13,Arizona,ARI
Week_13,Carolina,CAR
Week_14,Atlanta,ATL
Week_14,Chicago,CHI
Week_14,Green Bay,GB
Week_14,Indianapolis,IND
Week_14,New Orleans,NO
Week_14,Washington,WAS
