Bye,Team,Abbreviation
Week_6,Falcons,ATL
Week_6,Saints,NO
Week_6,Jets,NYJ
Week_6,49ers,SF
Week_7,Bills,BUF
Week_7,Cowboys,DAL
Week_7,Jaguars,JAC
Week_7,Chargers,LAC
Week_7,Vikings,MIN
Week_7,Steelers,PIT
Week_8,Ravens,BAL
Week_8,Raiders,LVR
Week_9,Lions,DET
Week_9,Seahawks,SEA
Week_9,Buccaneers,TB
Week_9,Washington,WAS
Week_10,Bears,CHI
Week_10,Bengals,CIN
Week_10,Texans,HOU
Week_10,Giants,NYG
Week_11,Broncos,DEN
Week_11,Rams,LAR
Week_12,Cardinals,ARI
Week_12,Chiefs,KC
Week_13,Panthers,CAR
Week_13,Browns,CLE
Week_13,Packers,GB
Week_13,Titans,TEN
Week_14,Colts,IND
Week_14,Dolphins,MIA
Week_14,Patriots,NE
Week_14,Eagles,PHI
