Bye,Team,Abbreviation
Week_5,Lions,DET
Week_5,Chargers,LAC
Week_5,Eagles,PHI
Week_5,Titans,TEN
Week_6,Chiefs,KC
Week_6,Rams,LA
Week_6,Dolphins,MIA
Week_6,Vikings,MIN
Week_7,Bears,CHI
Week_7,Cowboys,DAL
Week_9,Steelers,PIT
Week_9,49ers,SF
Week_10,Browns,CLE
Week_10,Packers,GB
Week_10,Raiders,LV
Week_10,Seahawks,SEA
Week_11,Cardinals,ARI
Week_11,Panthers,CAR
Week_11,Giants,NYG
Week_11,Buccaneers,TB
Week_12,Falcons,ATL
Week_12,Bills,BUF
Week_12,Bengals,CIN
Week_12,Jaguars,JAX
Week_12,Saints,NO
Week_12,Jets,NYJ
Week_14,Ravens,BAL
Week_14,Broncos,DEN
Week_14,Texans,HOU
Week_14,Colts,IND
Week_14,Patriots,NE
Week_14,Commanders,WAS
