"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"110","Chris Boswell","K","PIT",8.96,0.939,0.0873,7.35,9.68,0.335,-0.175,-0.0673,110,154,141,6,"1",NA,NA,52
"111","Jeffery Simmons","DL","TEN",3.39,1.41,0.0389,2.43,4.36,0.296,-0.18,0.233,111,156,117,7,"3",NA,NA,91
"112","Kobie Turner","DL","LAR",3.35,1.21,0.0565,2.52,4.19,0.257,-0.0835,0.0566,112,142,125,8,"3",NA,NA,79
"113","Will Reichard","K","MIN",8.87,1.07,0.248,7.52,10.1,0.248,0,0.404,113,130,103,7,"2",NA,NA,68
"114","Eric Kendricks","LB","DAL",6.99,2.66,0.0273,4.95,10,0.23,-0.154,0.817,114,151,88,5,"1",NA,NA,89
"115","Derwin James","DB","LAC",6.54,1.51,0.0529,5.61,8.31,0.224,0,0.562,115,130,95,3,"1",NA,NA,78
"116","Quay Walker","LB","GB",6.97,2.23,0.0403,5.62,9.58,0.202,0.511,0.356,116,100,108,6,"1",NA,NA,59
"117","Jared Verse","DL","LAR",3.29,1.14,0.201,2.51,4.62,0.201,-0.0914,0.489,117,145,97,9,"4",NA,NA,71
"118","Antoine Winfield","DB","TB",6.48,1.01,0.00587,5.78,7.65,0.171,0.173,-0.0986,118,116,142,4,"1",NA,NA,36
"119","Kevin Byard","DB","CHI",6.48,1.39,0.0339,5.61,8.11,0.165,0.000156,0.36,119,129,107,5,"1",NA,NA,73
"120","Jamien Sherwood","LB","NYJ",6.93,2.78,0.0395,4.76,10.1,0.162,-0.349,0.881,120,168,87,7,"1",NA,NA,93
"121","Julian Love","DB","SEA",6.44,1.11,0.0443,5.75,7.75,0.131,0.14,0,121,121,130,6,"1",NA,NA,46
"122","Foyesade Oluokun","LB","JAC",6.89,1.68,0.0871,5.74,8.83,0.122,0.63,-0.397,122,98,163,8,"1",NA,NA,28
"123","Grant Delpit","DB","CLE",6.4,1.16,0.0243,5.7,7.76,0.0866,0.0893,0.0155,123,123,129,7,"1",NA,NA,53
