"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Saquon Barkley","RB","PHI",19.9,0.822,0.532,18.8,21.1,11.2,12.5,10.7,1,1,2,1,"1",NA,NA,10
"2","Joe Mixon","RB","HOU",19.4,1.01,0.0798,17.5,20.4,10.7,11.2,9.98,2,3,4,2,"1",NA,NA,26
"3","Bijan Robinson","RB","ATL",19.3,1.6,0.259,17.2,21.6,10.6,10.9,11.2,3,4,1,3,"1",NA,NA,64
"4","Derrick Henry","RB","BAL",19,0.483,1.05,18.4,19.6,10.4,12,9.18,4,2,8,4,"2",NA,NA,1
"5","Ja'Marr Chase","WR","CIN",21.5,1.62,2.68,19.7,23.7,9.83,10.1,10.5,5,5,3,1,"1",NA,NA,82
"6","Chase Brown","RB","CIN",18,1.67,0.484,14.7,19.3,9.31,8.37,8.88,6,8,9,5,"2",NA,NA,67
"7","Josh Jacobs","RB","GB",17.5,1.17,0.175,15.8,19,8.82,9.49,8.53,7,7,11,6,"2",NA,NA,43
"8","Devon Achane","RB","MIA",17.3,1.63,0.191,14.6,19.6,8.65,8.29,9.19,8,9,7,7,"3",NA,NA,66
"9","Jahmyr Gibbs","RB","DET",17.1,0.781,0.000755,16.2,18.1,8.45,9.92,7.66,9,6,17,8,"3",NA,NA,9
"10","Zach Charbonnet","RB","SEA",17.1,2.36,0.161,12.3,18.6,8.45,6.03,8.2,10,23,15,9,"3",NA,NA,97
"11","James Conner","RB","ARI",16.9,2.03,0.307,14.2,19.7,8.29,7.9,9.28,11,12,6,10,"3",NA,NA,90
"12","Chuba Hubbard","RB","CAR",16.6,1.81,0.139,14.5,19.9,7.99,8.21,9.48,12,11,5,11,"3",NA,NA,77
"13","Alvin Kamara","RB","NO",16.5,1.5,0.719,13.8,18.4,7.85,7.47,8,13,13,16,12,"4",NA,NA,59
"14","Puka Nacua","WR","LAR",18.8,1.82,0.229,16.6,21.5,7.15,6.98,8.3,14,16,13,2,"1",NA,NA,89
