"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Bijan Robinson","RB","ATL",20,1.53,0.0952,18.5,22.5,13.1,12.4,13.5,1,1,1,1,"1",NA,NA,75
"2","Alvin Kamara","RB","NO",19.9,1.56,0.694,17.8,21.6,13,11.7,12.6,2,2,2,2,"1",NA,NA,77
"3","Christian McCaffrey","RB","SF",19.2,1.26,0.0906,17.6,21,12.3,11.5,11.9,3,4,3,3,"1",NA,NA,61
"4","Saquon Barkley","RB","PHI",19.1,1.33,0.859,17.7,20.8,12.2,11.6,11.7,4,3,5,4,"2",NA,NA,69
"5","Derrick Henry","RB","BAL",18.2,0.622,0.011,17.5,19.1,11.3,11.4,10.1,5,5,11,5,"2",NA,NA,10
"6","Joe Mixon","RB","HOU",18.2,0.922,0.154,17.1,19.6,11.3,11.1,10.6,6,6,9,6,"2",NA,NA,34
"7","Kyren Williams","RB","LAR",18.1,1.01,0.391,16.5,19.6,11.2,10.4,10.6,7,10,10,7,"3",NA,NA,42
"8","Ja'Marr Chase","WR","CIN",21.1,1.85,0.288,18.7,24.1,11.1,10.7,11.8,8,8,4,1,"1",NA,NA,80
"9","Jonathan Taylor","RB","IND",17.7,1.2,0.0355,16.6,19.8,10.8,10.6,10.8,10,9,8,8,"3",NA,NA,52
"10","Justin Jefferson","WR","MIN",20.8,1.53,2.71,18.9,23.2,10.8,10.9,10.9,9,7,7,2,"2",NA,NA,62
"11","Devon Achane","RB","MIA",17.6,1.76,0.272,14.7,20.2,10.7,8.71,11.2,11,12,6,9,"3",NA,NA,89
"12","Breece Hall","RB","NYJ",17.4,1.6,1.07,14.4,19.1,10.5,8.38,10.1,12,13,12,10,"4",NA,NA,80
"13","Jahmyr Gibbs","RB","DET",16.3,1.28,0.249,15.2,18.1,9.4,9.21,9.04,13,11,16,11,"5",NA,NA,62
"14","D'Andre Swift","RB","CHI",16,1.62,0.318,14,18.8,9.15,7.92,9.82,14,16,13,12,"5",NA,NA,82
"15","Aaron Jones","RB","MIN",15.7,1.25,0.125,13.9,17.8,8.83,7.85,8.79,15,17,18,13,"5",NA,NA,59
