"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",22.3,1.77,2.14,20.5,25,15.8,15.1,16.4,1,1,1,1,"1",NA,NA,90
"2","Alvin Kamara","RB","NO",20.2,1.57,1.49,18.2,22.2,13.6,12.8,13.5,2,2,2,2,"2",NA,NA,82
"3","Joe Mixon","RB","HOU",18.7,1.29,0.167,17.1,20.8,12.1,11.7,12.1,3,3,3,3,"2",NA,NA,62
"4","Saquon Barkley","RB","PHI",18.5,1.4,0.248,16.7,20.3,12,11.3,11.7,4,4,4,4,"2",NA,NA,72
"5","Bijan Robinson","RB","ATL",18.3,1.38,0.0877,16.4,19.9,11.7,11.1,11.3,5,5,6,5,"2",NA,NA,69
"6","Kyren Williams","RB","LAR",18.2,1.68,0.415,15.6,20,11.6,10.3,11.4,6,8,5,6,"3",NA,NA,87
"7","Jahmyr Gibbs","RB","DET",17.8,1.17,0.291,16.3,19.1,11.2,11,10.4,7,6,10,7,"3",NA,NA,46
"8","Devon Achane","RB","MIA",17.5,2,0.297,13.8,19.8,10.9,8.41,11.1,8,12,7,8,"3",NA,NA,99
"9","Breece Hall","RB","NYJ",17.2,1.55,0.142,14.3,18.3,10.6,8.93,9.7,9,10,12,9,"3",NA,NA,80
"10","Derrick Henry","RB","BAL",17,1.26,1.21,15.7,19.3,10.5,10.3,10.7,10,7,8,10,"4",NA,NA,61
"11","Ja'Marr Chase","WR","CIN",19.8,1.61,1.5,17.9,22.3,9.46,8.89,10.1,11,11,11,1,"1",NA,NA,85
"12","Jonathan Taylor","RB","IND",15.8,2.31,0.0953,12.1,19.1,9.28,6.79,10.5,12,21,9,11,"4",NA,NA,99
"13","Chase Brown","RB","CIN",15.7,1.95,0.159,12.8,18,9.18,7.49,9.36,13,18,13,12,"4",NA,NA,97
"14","Kenneth Walker III","RB","SEA",15.6,1.17,0.857,14.4,17.8,9.02,9.08,9.11,14,9,14,13,"5",NA,NA,48
"15","J.K. Dobbins","RB","LAC",14.7,1.48,0.115,12.9,17.3,8.16,7.54,8.66,15,17,15,14,"5",NA,NA,75
"16","Kareem Hunt","RB","KC",14.6,1.37,0.218,13,17.1,8.05,7.67,8.43,16,15,16,15,"5",NA,NA,68
"17","Justin Jefferson","WR","MIN",18.3,1.59,0.129,16.9,20.2,7.96,7.86,8.01,17,13,18,2,"1",NA,NA,82
"18","James Cook","RB","BUF",14.4,1.52,0.0649,12.4,16.4,7.83,7.03,7.76,18,20,20,16,"5",NA,NA,79
"19","Amon-Ra St. Brown","WR","DET",18.1,1.5,1.75,16.4,20,7.83,7.33,7.86,19,19,19,3,"2",NA,NA,77
"20","Aaron Jones","RB","MIN",14.3,0.995,0.0471,12.9,15.8,7.77,7.54,7.19,20,16,23,17,"5",NA,NA,25
