"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Breece Hall","RB","NYJ",18.6,1.69,0.338,15.7,20.5,9.61,8.47,9.88,1,7,2,1,"1",NA,NA,82
"2","Ja'Marr Chase","WR","CIN",20.2,1.37,0.994,17.8,21.7,9.59,8.68,8.98,2,4,4,1,"1",NA,NA,68
"3","Joe Mixon","RB","HOU",18.3,0.694,0.42,17.1,19.3,9.28,9.92,8.6,3,1,5,2,"1",NA,NA,7
"4","Saquon Barkley","RB","PHI",17.8,1.36,0.0618,16.2,19.7,8.86,9.04,9.04,4,3,3,3,"1",NA,NA,56
"5","Bijan Robinson","RB","ATL",17.8,2.13,0.149,15.5,21.8,8.79,8.35,11.1,5,8,1,4,"1",NA,NA,93
"6","Derrick Henry","RB","BAL",17.6,0.657,0.692,16.5,18.3,8.65,9.28,7.69,6,2,13,5,"2",NA,NA,6
"7","Justin Jefferson","WR","MIN",19.2,2.16,0.36,15.4,21.1,8.6,6.25,8.38,7,16,7,2,"1",NA,NA,99
"8","Amon-Ra St. Brown","WR","DET",18.8,1.45,0.524,16.7,20.5,8.24,7.63,7.81,8,9,12,3,"1",NA,NA,71
"9","Kenneth Walker III","RB","SEA",16.9,1.05,0.0547,15.8,18.9,7.95,8.63,8.27,9,5,9,6,"2",NA,NA,37
"10","Jahmyr Gibbs","RB","DET",16.9,0.966,0.368,15.8,18.3,7.9,8.61,7.65,10,6,14,7,"2",NA,NA,28
"11","Tyreek Hill","WR","MIA",18.3,1.97,0.802,15.5,21.1,7.71,6.39,8.34,11,15,8,4,"2",NA,NA,93
"12","Kyren Williams","RB","LAR",16.5,1.06,0.78,14.6,17.6,7.53,7.45,6.97,12,10,20,8,"3",NA,NA,38
"13","CeeDee Lamb","WR","DAL",17.5,1.3,0.533,15.6,19.1,6.91,6.47,6.35,13,13,22,5,"3",NA,NA,60
"14","Devon Achane","RB","MIA",15.7,1.57,0.0572,13.8,18.5,6.75,6.65,7.88,14,12,11,9,"3",NA,NA,72
"15","Alvin Kamara","RB","NO",15.7,1.17,0.4,13.9,16.9,6.69,6.71,6.23,15,11,24,10,"4",NA,NA,46
"16","Drake London","WR","ATL",17,1.81,0.681,15.1,19.5,6.38,5.99,6.81,16,18,21,6,"3",NA,NA,89
"17","Aaron Jones","RB","MIN",15.3,0.908,0.265,13.6,16.1,6.29,6.46,5.49,17,14,31,11,"4",NA,NA,21
"18","Jonathan Taylor","RB","IND",15,1.81,0.0368,12.2,17.9,6.03,4.99,7.23,18,25,17,12,"4",NA,NA,85
"19","D'Andre Swift","RB","CHI",15,2.03,0.0267,12.4,18.7,5.99,5.26,8,19,23,10,13,"4",NA,NA,90
"20","J.K. Dobbins","RB","LAC",15,1.95,0.152,13.1,18.2,5.96,5.89,7.55,20,19,15,14,"4",NA,NA,87
