"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Cooper Kupp","WR","LAR",23.2,1.54,1.23,20.5,24.5,12.3,11.2,11.9,1,1,1,1,"1",NA,NA,48
"2","Davante Adams","WR","GB",22,2.13,1.44,18.7,24.2,11.1,9.4,11.6,2,4,2,2,"1",NA,NA,71
"3","Jonathan Taylor","RB","IND",20.3,1.5,2.72,18.3,22.4,10.2,10.4,10.3,3,2,3,1,"1",NA,NA,56
"4","Keenan Allen","WR","LAC",20.5,1.8,0.0398,18.1,22.4,9.65,8.87,9.75,4,6,5,3,"2",NA,NA,61
"5","Tyreek Hill","WR","KC",20.5,1.73,1.8,18.5,22.7,9.61,9.27,10.1,5,5,4,4,"3",NA,NA,58
"6","George Kittle","TE","SF",17.3,1.99,1.03,15,19.6,8.83,8.19,9.49,6,7,6,1,"1",NA,NA,81
"7","Justin Jefferson","WR","MIN",18.7,1.63,0.0535,16.9,20.9,7.81,7.64,8.31,7,13,9,5,"3",NA,NA,51
"8","Mark Andrews","TE","BAL",16.3,2.67,2.17,13,18.8,7.8,6.16,8.67,8,18,8,2,"2",NA,NA,93
"9","Diontae Johnson","WR","PIT",18.6,2.38,0.943,16.2,21.4,7.76,6.89,8.77,9,14,7,6,"3",NA,NA,80
"10","James Conner","RB","ARI",17.6,5.03e-15,0.118,17.6,17.6,7.45,9.71,5.54,10,3,35,2,"1",NA,NA,1
"11","Alvin Kamara","RB","NO",17.5,1.31,0.148,15.8,19.4,7.34,7.96,7.29,11,10,17,3,"1",NA,NA,47
"12","James Robinson","RB","JAC",17.3,1.34,0.0552,15.8,19.2,7.19,7.96,7.18,12,11,18,4,"1",NA,NA,48
"13","Najee Harris","RB","PIT",17.3,1.31,0.618,15.9,19.4,7.13,7.98,7.3,13,9,16,5,"1",NA,NA,45
"14","Antonio Brown","WR","TB",17.7,1.46,0.926,16.1,19,6.82,6.83,6.41,14,15,27,7,"4",NA,NA,41
"15","Alexander Mattison","RB","MIN",16.7,2.22,0.00873,14.7,19.8,6.51,6.79,7.76,15,16,14,6,"1",NA,NA,79
"16","Nick Chubb","RB","CLE",16.7,1.25,0.402,16,18.9,6.51,8.13,6.82,16,8,22,7,"1",NA,NA,40
"17","Cordarrelle Patterson","RB","ATL",16.2,0.953,0.1,15.7,17.4,6.1,7.79,5.31,17,12,36,8,"2",NA,NA,27
