"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",22.1,1.08,0.945,21,23.4,14.6,15.5,14.1,1,1,2,1,"1",NA,NA,34
"2","Derrick Henry","RB","TEN",21.2,2,2.71,18.5,23.9,13.7,13,14.6,2,2,1,2,"2",NA,NA,77
"3","Travis Kelce","TE","KC",19.7,1.98,2.34,16.5,21.5,12.2,10,12.2,3,8,3,1,"1",NA,NA,80
"4","Davante Adams","WR","GB",22.8,1.35,0.776,20.5,24.1,11.9,11.8,11.1,4,5,7,1,"1",NA,NA,42
"5","Tyreek Hill","WR","KC",22.1,0.868,0.443,21.1,23,11.2,12.4,10.1,5,3,10,2,"1",NA,NA,16
"6","Aaron Jones","RB","GB",18.5,0.661,0.688,17.7,19.3,11,12.2,9.99,6,4,11,3,"2",NA,NA,14
"7","Cooper Kupp","WR","LAR",21.6,2.15,2.75,18.6,24.2,10.7,9.89,11.2,7,9,6,3,"2",NA,NA,72
"8","Darrell Henderson","RB","LAR",17.8,1.93,0.574,15,20.6,10.3,9.45,11.3,8,10,5,4,"3",NA,NA,75
"9","Darren Waller","TE","LVR",17.4,2.28,1.56,15.3,20.4,9.86,8.84,11.1,9,12,8,2,"2",NA,NA,83
"10","Jonathan Taylor","RB","IND",17.2,2.04,0.0432,15.6,20.7,9.73,10.1,11.4,10,7,4,5,"3",NA,NA,81
"11","Leonard Fournette","RB","TB",17.2,1.67,1.28,15.9,20.1,9.69,10.4,10.8,11,6,9,6,"4",NA,NA,68
"12","Patrick Mahomes","QB","KC",26.4,1.34,1.11,24.8,28,9.22,8.95,8.75,12,11,16,1,"1",NA,NA,57
"13","Chuba Hubbard","RB","CAR",15.9,2.2,0.436,13.6,19,8.41,8.11,9.7,13,16,12,7,"4",NA,NA,84
"14","Mark Andrews","TE","BAL",15.8,2.56,2.64,12.1,18.7,8.3,5.71,9.33,14,25,13,3,"3",NA,NA,90
"15","Kyler Murray","QB","ARI",25.3,1.97,2.11,22.7,28,8.11,6.89,8.78,15,19,15,2,"2",NA,NA,80
"16","D.J. Moore","WR","CAR",18.9,1.78,0.967,17,21.2,7.98,8.27,8.26,16,14,21,4,"2",NA,NA,64
"17","D'Andre Swift","RB","DET",15.5,1.07,0.205,14.2,17.1,7.97,8.73,7.83,17,13,24,8,"4",NA,NA,33
"18","Joe Mixon","RB","CIN",15.3,1.29,0.364,13.7,17,7.77,8.16,7.74,18,15,25,9,"4",NA,NA,47
"19","Josh Jacobs","RB","LVR",14.9,1.23,0.379,13.3,16.2,7.4,7.79,6.88,19,18,31,10,"5",NA,NA,43
"20","Darrel Williams","RB","KC",14.5,2.26,1.34,12.2,17.8,7.02,6.7,8.52,20,20,18,11,"6",NA,NA,85
"21","Deebo Samuel","WR","SF",17.9,2.62,0.121,13.5,21,7.01,4.82,8.11,21,34,23,5,"2",NA,NA,85
"22","DeAndre Hopkins","WR","ARI",17.8,2.1,0.0617,14.4,20,6.89,5.7,7.08,22,26,28,6,"2",NA,NA,71
"23","Calvin Ridley","WR","ATL",17.7,0.933,0.22,16.7,18.6,6.83,8.01,5.65,23,17,46,7,"3",NA,NA,20
"24","Mike Evans","WR","TB",17.5,2.95,0.37,15,22.1,6.61,6.31,9.21,24,22,14,8,"3",NA,NA,95
"25","Chris Godwin","WR","TB",17.1,2.77,0.65,15.1,21.2,6.24,6.39,8.26,25,21,22,9,"3",NA,NA,90
"26","Lamar Jackson","QB","BAL",23.2,1.3,0.363,21.5,25.1,6,5.68,5.92,26,27,44,3,"2",NA,NA,50
"27","Devontae Booker","RB","NYG",13.2,2.88,0.0873,11.4,17.6,5.69,5.85,8.27,27,24,20,12,"6",NA,NA,97
"28","Kyle Pitts","TE","ATL",13.2,2.36,0.387,11.2,17.1,5.66,4.76,7.73,28,36,26,4,"4",NA,NA,87
"29","Tom Brady","QB","TB",22.9,1.54,0.358,21.5,24.7,5.64,5.66,5.46,29,28,49,4,"3",NA,NA,70
"30","Antonio Gibson","RB","WAS",13.1,1.6,0.337,11.1,15.4,5.6,5.54,6.12,30,29,43,13,"6",NA,NA,66
"31","Ja'Marr Chase","WR","CIN",16.5,2.79,0.0512,12.7,19.8,5.59,4,6.85,31,46,32,10,"3",NA,NA,91
"32","Marquise Brown","WR","BAL",16.4,3.4,0.244,12.8,21.4,5.54,4.13,8.48,32,44,19,11,"4",NA,NA,97
"33","A.J. Brown","WR","TEN",16.2,2.74,0.0249,13.8,20.3,5.29,5.06,7.34,33,30,27,12,"4",NA,NA,90
"34","Matthew Stafford","QB","LAR",22.5,2.3,0.733,18.8,25,5.28,2.93,5.76,34,58,45,5,"3",NA,NA,96
"35","DK Metcalf","WR","SEA",16.2,2.3,0.0186,13.4,18.5,5.27,4.7,5.55,36,37,48,13,"4",NA,NA,77
