"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","CAR",23.8,2.25,0.845,20.5,26,14.2,13,13.7,1,1,2,1,"1",NA,NA,70
"2","Alvin Kamara","RB","NO",23,2.42,0.871,20,26.2,13.4,12.5,13.8,2,3,1,2,"1",NA,NA,75
"3","Dalvin Cook","RB","MIN",22.1,2.05,2.92,20.1,25.1,12.5,12.7,12.7,3,2,4,3,"2",NA,NA,66
"4","Travis Kelce","TE","KC",21,1.59,3.64,19.2,23.2,12.3,12.2,13.1,4,4,3,1,"1",NA,NA,65
"5","Derrick Henry","RB","TEN",19.2,0.827,0.169,17.9,20.1,9.6,10.5,7.76,5,5,16,4,"2",NA,NA,26
"6","Austin Ekeler","RB","LAC",19,3.37,0.816,15.5,24,9.44,8.06,11.7,6,10,5,5,"3",NA,NA,95
"7","Darren Waller","TE","LVR",17.4,2.13,0.274,14.6,19.5,8.69,7.56,9.35,7,12,7,2,"1",NA,NA,84
"8","Aaron Jones","RB","GB",18.2,1.89,0.842,17,21.2,8.62,9.57,8.88,8,6,10,6,"3",NA,NA,61
"9","George Kittle","TE","SF",17.1,2.37,2.32,14.3,19.4,8.42,7.27,9.3,9,13,8,3,"2",NA,NA,90
"10","Tyreek Hill","WR","KC",22.1,2.01,0.076,20.1,25.1,8.37,9.27,8.71,10,7,12,1,"1",NA,NA,47
"11","Davante Adams","WR","GB",22,2.29,1.11,19.6,25.2,8.3,8.78,8.74,11,8,11,2,"1",NA,NA,58
"12","Joe Mixon","RB","CIN",17.4,2.67,0.391,15.3,21.5,7.78,7.82,9.15,12,11,9,7,"3",NA,NA,82
"13","Ezekiel Elliott","RB","DAL",17,2.79,0.258,13.7,21,7.39,6.3,8.65,13,21,13,8,"3",NA,NA,83
